Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('NPC Vendors', 'Dawnguard')",973,1800,0.006896,0.012757,0.00107,0.019653
"('Clothing', 'Plants / Foliage')",1782,452,0.01263,0.003204,0.000588,0.015833
"('Companion Friendly', 'Performance Optimization')",3345,604,0.023707,0.004281,0.000666,0.027988
"('Related to horses', 'Related to vampires')",379,680,0.002686,0.004819,0.000319,0.007506
"('Creatures', 'Magic - Enchantments')",1103,1012,0.007817,0.007172,0.000794,0.01499
"('French', 'Magic - Spells')",748,2019,0.005301,0.01431,0.000595,0.019611
"('Audio - Music', 'Unrealistic')",429,1027,0.003041,0.007279,9.9e-05,0.010319
"('Leveled Lists', 'Clothing - Female')",516,1431,0.003657,0.010142,0.000468,0.013799
"('Environment - Water', 'Locations - Caverns')",301,441,0.002133,0.003126,0.000312,0.005259
"('Japanese', 'SKSE (Skyrim Script Extender)')",417,1199,0.002955,0.008498,0.000213,0.011453
"('Japanese', 'Creatures - Rideable')",417,275,0.002955,0.001949,6.4e-05,0.004904
"('Czech', 'Creatures')",195,1103,0.001382,0.007817,8.5e-05,0.009199
"('Hair', 'User Interface')",398,594,0.002821,0.00421,4.3e-05,0.007031
"('Magic - Potions', 'User Interface')",576,594,0.004082,0.00421,0.000184,0.008292
"('Environment - Sky', 'Clothing - Female')",435,1431,0.003083,0.010142,0.000156,0.013225
"('Nudity', 'English')",336,12126,0.002381,0.085942,0.000936,0.088323
"('Gameplay Effects/Changes', 'Tutorials for Players')",3718,204,0.026351,0.001446,0.000354,0.027797
"('New textures', 'Not Lore-Friendly')",4507,2051,0.031943,0.014536,0.002218,0.046479
"('Poses', 'Animation - New')",122,269,0.000865,0.001907,0.000269,0.002771
"('For male characters', 'Clothing - Female')",3578,1431,0.025359,0.010142,0.003749,0.035501
"('Body models', 'Lore-Friendly')",503,8619,0.003565,0.061087,0.001425,0.064651
"('For female characters', 'Animation - Modified')",4508,364,0.03195,0.00258,0.00056,0.03453
"('Chargen', 'Humor, Joke or Just for Fun')",565,1282,0.004004,0.009086,0.000255,0.01309
"('Environment - Water', 'Locations - Dungeons')",301,764,0.002133,0.005415,0.000369,0.007548
"('Humor, Joke or Just for Fun', 'Not Lore-Friendly')",1282,2051,0.009086,0.014536,0.002814,0.023622
"('Nudity', 'Unrealistic')",336,1027,0.002381,0.007279,0.000404,0.00966
"('Translation', 'NPCs')",2103,3220,0.014905,0.022822,0.000461,0.037726
"('Audio - Voices', 'Locations - Caverns')",494,441,0.003501,0.003126,0.000517,0.006627
"('Unrealistic', 'Magic - Potions')",1027,576,0.007279,0.004082,0.00017,0.011361
"('Faction: Thieves Guild', 'Utilities for Players')",251,947,0.001779,0.006712,4.3e-05,0.008491
"('Fair and balanced', 'Items - Apparatus')",7082,449,0.050193,0.003182,0.001552,0.053375
"('Related to Movies/TV/Other Games', 'New Lands')",1019,460,0.007222,0.00326,0.000354,0.010482
"('Related to vampires', 'Magic - Enchantments')",680,1012,0.004819,0.007172,0.00039,0.011992
"('Quests', 'Items - Apparatus')",843,449,0.005975,0.003182,0.000404,0.009157
"('Italian', 'Japanese')",723,417,0.005124,0.002955,0.001616,0.00808
"('Environment - Sky', 'Russian')",435,581,0.003083,0.004118,0.000248,0.007201
"('Races - New', 'Italian')",438,723,0.003104,0.005124,4.3e-05,0.008228
"('Solstheim', 'German')",256,1083,0.001814,0.007676,7.8e-05,0.00949
"('Official', 'Guilds / Factions')",244,572,0.001729,0.004054,0.000206,0.005783
"('Unbalanced', 'Video')",934,253,0.00662,0.001793,7.8e-05,0.008413
"('Quests', 'Creatures - Rideable')",843,275,0.005975,0.001949,0.000276,0.007924
"('Faction: Dark Brotherhood', 'Dragonborn')",233,1519,0.001651,0.010766,0.000177,0.012417
"('Replacer', 'Audio - Voices')",3268,494,0.023162,0.003501,0.000489,0.026663
"('Classes component', 'Nudity')",169,336,0.001198,0.002381,4.3e-05,0.003579
"('Plants / Foliage', 'Utilities for Players')",452,947,0.003204,0.006712,0.000191,0.009915
"('Cheating', 'New textures')",997,4507,0.007066,0.031943,0.000184,0.039009
"('Performance Optimization', 'Guilds / Factions')",604,572,0.004281,0.004054,0.000177,0.008335
"('Items - Ingredients', 'Magic - Potions')",748,576,0.005301,0.004082,0.0018,0.009384
"('Animation - Modified', 'Body models')",364,503,0.00258,0.003565,0.000347,0.006145
"('Armor - Shields', 'Items - Apparatus')",1628,449,0.011538,0.003182,0.000709,0.014721
"('Lighting', 'Japanese')",760,417,0.005386,0.002955,0.000163,0.008342
"('Animation - Modified', 'Nudity')",364,336,0.00258,0.002381,4.3e-05,0.004961
"('New Lands', 'Japanese')",460,417,0.00326,0.002955,0.000128,0.006216
"('Czech', 'Items - Apparatus')",195,449,0.001382,0.003182,7.1e-05,0.004564
"('Related to vampires', 'Locations - Player-Owned')",680,1952,0.004819,0.013835,0.000602,0.018654
"('Faction: Thieves Guild', 'Gameplay Effects/Changes')",251,3718,0.001779,0.026351,0.000383,0.02813
"('Compilation', 'Animation - New')",406,269,0.002877,0.001907,0.000177,0.004784
"('Other languages', 'Plants / Foliage')",619,452,0.004387,0.003204,0.000113,0.007591
"('Lore-Friendly', 'Items - Furniture')",8619,706,0.061087,0.005004,0.002764,0.06609
"('Replacer', 'Fair and balanced')",3268,7082,0.023162,0.050193,0.005372,0.073355
"('Companions', 'Czech')",2791,195,0.019781,0.001382,0.000106,0.021163
"('Environment - Weather', 'Plants / Foliage')",342,452,0.002424,0.003204,0.000305,0.005627
"('Gameplay Effects/Changes', 'Italian')",3718,723,0.026351,0.005124,0.000723,0.031475
"('Scripted Events', 'Magic - Spells')",755,2019,0.005351,0.01431,0.001276,0.019661
"('Hair', 'Quests')",398,843,0.002821,0.005975,0.000177,0.008795
"('ENB Preset', 'Face models')",76,771,0.000539,0.005464,1.4e-05,0.006003
"('Magic - Enchantments', 'Tutorials for Players')",1012,204,0.007172,0.001446,9.9e-05,0.008618
"('Faction: Thieves Guild', 'New textures')",251,4507,0.001779,0.031943,0.000227,0.033722
"('Audio - Voices', 'Unrealistic')",494,1027,0.003501,0.007279,0.000142,0.01078
"('Companion Friendly', ""Modder's Resource"")",3345,1367,0.023707,0.009689,0.00112,0.033396
"('Items - Clutter', 'Locations - World Map')",1230,1159,0.008718,0.008214,0.001517,0.016932
"('Environment - Sky', 'Locations - World Map')",435,1159,0.003083,0.008214,0.000376,0.011297
"('Cheating', 'Humor, Joke or Just for Fun')",997,1282,0.007066,0.009086,0.000907,0.016152
"('Body models', 'User Interface')",503,594,0.003565,0.00421,5e-05,0.007775
"('Faction: Thieves Guild', 'German')",251,1083,0.001779,0.007676,5.7e-05,0.009455
"('Chargen', 'Clothing - Female')",565,1431,0.004004,0.010142,0.000177,0.014146
"('ENB Preset', 'Other languages')",76,619,0.000539,0.004387,1.4e-05,0.004926
"('Animation - New', 'Leveled Lists')",269,516,0.001907,0.003657,0.000128,0.005564
"('Solstheim', 'Russian')",256,581,0.001814,0.004118,7.1e-05,0.005932
"('Related to vampires', 'Hair')",680,398,0.004819,0.002821,0.000156,0.00764
"('German', 'Creatures - Rideable')",1083,275,0.007676,0.001949,0.00017,0.009625
"('Body models', 'NPC Trainers')",503,264,0.003565,0.001871,0.000184,0.005436
"('Compilation', 'Guilds / Factions')",406,572,0.002877,0.004054,0.000298,0.006932
"('Birthsigns', 'Russian')",59,581,0.000418,0.004118,7.1e-05,0.004536
"('Gameplay Effects/Changes', 'User Interface')",3718,594,0.026351,0.00421,0.000907,0.030561
"('French', 'Non-Playable Resource')",748,301,0.005301,0.002133,0.000149,0.007435
"('Leveled Lists', 'Locations - Dungeons')",516,764,0.003657,0.005415,0.000447,0.009072
"('Humor, Joke or Just for Fun', 'Polish')",1282,544,0.009086,0.003856,0.000156,0.012942
"('Compilation', 'Polish')",406,544,0.002877,0.003856,0.000106,0.006733
"('Faction: College of Winterhold', 'Items - Leveled')",221,494,0.001566,0.003501,0.000106,0.005068
"('Faction: College of Winterhold', 'Magic - Potions')",221,576,0.001566,0.004082,0.000106,0.005649
"('Lore-Friendly', 'Spanish')",8619,806,0.061087,0.005712,0.001517,0.066799
"('Faction: College of Winterhold', 'Saved games')",221,974,0.001566,0.006903,5e-05,0.008469
"('Related to vampires', 'Environment - Weather')",680,342,0.004819,0.002424,0.000135,0.007243
"('Audio - Sound FX', 'Humor, Joke or Just for Fun')",587,1282,0.00416,0.009086,0.000709,0.013246
"('Not Lore-Friendly', 'Locations - Player-Owned')",2051,1952,0.014536,0.013835,0.000503,0.028371
"('Performance Optimization', 'Scripted Events')",604,755,0.004281,0.005351,0.000283,0.009632
"('Humor, Joke or Just for Fun', 'French')",1282,748,0.009086,0.005301,0.000198,0.014387
"('Faction: Dark Brotherhood', 'Utilities for Players')",233,947,0.001651,0.006712,4.3e-05,0.008363
"('New textures', 'Scripted Events')",4507,755,0.031943,0.005351,0.001134,0.037294
"('Body models', 'Items - Clutter')",503,1230,0.003565,0.008718,0.000262,0.012283
"('Books', 'Locations - Player-Owned')",1045,1952,0.007406,0.013835,0.001758,0.021241
"('Faction: Thieves Guild', 'Translation')",251,2103,0.001779,0.014905,7.1e-05,0.016684
"('Compilation', 'Performance Optimization')",406,604,0.002877,0.004281,0.000383,0.007158
"('Related to Movies/TV/Other Games', 'English')",1019,12126,0.007222,0.085942,0.003778,0.093164
"('Animation - New', 'Lighting')",269,760,0.001907,0.005386,0.000149,0.007293
"('Audio - Voices', 'Magic - Potions')",494,576,0.003501,0.004082,0.000283,0.007584
"('Body models', 'Magic - Enchantments')",503,1012,0.003565,0.007172,0.000198,0.010737
"('Audio - Music', 'Guilds / Factions')",429,572,0.003041,0.004054,0.000333,0.007095
"('Audio - Voices', 'Environment - Sky')",494,435,0.003501,0.003083,0.000128,0.006584
"('Faction: College of Winterhold', 'Performance Optimization')",221,604,0.001566,0.004281,6.4e-05,0.005847
"('Items - Leveled', 'Locations - Player-Owned')",494,1952,0.003501,0.013835,0.000695,0.017336
"('Related to horses', ""Modder's Resource"")",379,1367,0.002686,0.009689,0.000241,0.012375
"('Compilation', 'Faction: Thieves Guild')",406,251,0.002877,0.001779,0.000135,0.004656
"('Italian', 'Non-Playable Resource')",723,301,0.005124,0.002133,0.000113,0.007258
"('Classes component', 'Environment - Water')",169,301,0.001198,0.002133,0.00012,0.003331
"('Nudity', 'Russian')",336,581,0.002381,0.004118,2.1e-05,0.006499
"('Gameplay Effects/Changes', 'Guilds / Factions')",3718,572,0.026351,0.004054,0.001006,0.030405
"('Audio - Voices', 'Clothing - Male')",494,1051,0.003501,0.007449,0.000248,0.01095
"('German', 'Clothing - Male')",1083,1051,0.007676,0.007449,0.000347,0.015125
"('Lighting', 'Weapons')",760,3646,0.005386,0.025841,0.000553,0.031227
"('Environment - Other', 'Items - Apparatus')",1225,449,0.008682,0.003182,0.000454,0.011864
"('Compilation', 'Animation - Modified')",406,364,0.002877,0.00258,0.000177,0.005457
"('New models', 'Locations - Dungeons')",2261,764,0.016025,0.005415,0.000957,0.021439
"('Birthsigns', 'Items - Apparatus')",59,449,0.000418,0.003182,9.2e-05,0.0036
"('Guilds / Factions', 'Lore-Friendly')",572,8619,0.004054,0.061087,0.002679,0.065141
"('Spanish', ""Modder's Resource"")",806,1367,0.005712,0.009689,0.000276,0.015401
"('For male characters', 'Locations - Dungeons')",3578,764,0.025359,0.005415,0.00085,0.030774
"('Audio - Sound FX', 'Creatures')",587,1103,0.00416,0.007817,0.000546,0.011978
"('NPC Vendors', 'Plants / Foliage')",973,452,0.006896,0.003204,0.000744,0.0101
"('Birthsigns', 'Items - Leveled')",59,494,0.000418,0.003501,0.000113,0.003919
"('Related to Movies/TV/Other Games', 'Creatures - Rideable')",1019,275,0.007222,0.001949,0.000156,0.009171
"('Locations - Dungeons', 'Hearthfire')",764,967,0.005415,0.006854,0.000319,0.012268
"('Gameplay Effects/Changes', 'Not Lore-Friendly')",3718,2051,0.026351,0.014536,0.000971,0.040887
"('Birthsigns', 'English')",59,12126,0.000418,0.085942,0.000333,0.08636
"('Hair', 'Dragonborn')",398,1519,0.002821,0.010766,0.000135,0.013587
"('Clothing - Male', 'Tutorials for Modders')",1051,221,0.007449,0.001566,7.1e-05,0.009015
"('New Lands', 'Locations - Player-Owned')",460,1952,0.00326,0.013835,0.00134,0.017095
"('Magic - Potions', 'Plants / Foliage')",576,452,0.004082,0.003204,0.000702,0.007286
"('Classes component', 'Quests')",169,843,0.001198,0.005975,0.000241,0.007172
"('Items - Furniture', 'NPC Trainers')",706,264,0.005004,0.001871,0.000383,0.006875
"('Audio - Music', 'Locations - Player-Owned')",429,1952,0.003041,0.013835,0.000432,0.016875
"('Related to horses', 'Fair and balanced')",379,7082,0.002686,0.050193,0.000907,0.052879
"('Lighting', 'Creatures')",760,1103,0.005386,0.007817,0.000305,0.013204
"('Audio - Voices', 'Other languages')",494,619,0.003501,0.004387,0.000184,0.007888
"('Polish', 'User Interface')",544,594,0.003856,0.00421,0.000227,0.008065
"('For male characters', 'Nudity')",3578,336,0.025359,0.002381,0.000447,0.02774
"('Audio - Voices', 'Leveled Lists')",494,516,0.003501,0.003657,0.000248,0.007158
"('Leveled Lists', 'Japanese')",516,417,0.003657,0.002955,9.9e-05,0.006613
"('Unbalanced', 'Tutorials for Players')",934,204,0.00662,0.001446,4.3e-05,0.008065
"('Replacer', 'Magic - Potions')",3268,576,0.023162,0.004082,0.000312,0.027244
"('New Lands', 'Creatures - Rideable')",460,275,0.00326,0.001949,0.000198,0.005209
"('Unrealistic', 'Clothing')",1027,1782,0.007279,0.01263,0.000702,0.019909
"('Audio - Voices', 'French')",494,748,0.003501,0.005301,0.000191,0.008803
"('Environment - Water', 'New textures')",301,4507,0.002133,0.031943,0.00061,0.034076
"('Nudity', 'Clothing - Female')",336,1431,0.002381,0.010142,0.000397,0.012523
"('Animation - Modified', 'Locations - Caverns')",364,441,0.00258,0.003126,0.000113,0.005705
"('Fair and balanced', 'Audio - Sound FX')",7082,587,0.050193,0.00416,0.001283,0.054353
"('Environment - Other', 'Not Safe For Work')",1225,284,0.008682,0.002013,5e-05,0.010695
"('Faction: Companions', 'Nudity')",281,336,0.001992,0.002381,2.8e-05,0.004373
"('Other languages', 'Weapons')",619,3646,0.004387,0.025841,0.000524,0.030228
"('Faction: Companions', 'Environment - Other')",281,1225,0.001992,0.008682,0.000128,0.010674
"('Official', 'Audio - Voices')",244,494,0.001729,0.003501,0.000206,0.005231
"('Humor, Joke or Just for Fun', 'Magic - Potions')",1282,576,0.009086,0.004082,0.000326,0.013168
"('Books', 'Tutorials for Modders')",1045,221,0.007406,0.001566,9.2e-05,0.008973
"('Faction: Thieves Guild', 'Animation - Modified')",251,364,0.001779,0.00258,4.3e-05,0.004359
"('Hair', 'Items - Apparatus')",398,449,0.002821,0.003182,0.00012,0.006003
"('Compilation', 'SKSE (Skyrim Script Extender)')",406,1199,0.002877,0.008498,0.000255,0.011375
"('For male characters', 'Fair and balanced')",3578,7082,0.025359,0.050193,0.00825,0.075552
"('Animation - New', 'Dawnguard')",269,1800,0.001907,0.012757,0.000142,0.014664
"('Magic - Enchantments', 'Plants / Foliage')",1012,452,0.007172,0.003204,0.00051,0.010376
"('Faction: Companions', 'Czech')",281,195,0.001992,0.001382,5.7e-05,0.003374
"('Sexy/Skimpy', 'Locations - World Map')",1268,1159,0.008987,0.008214,0.000163,0.017201
"('Humor, Joke or Just for Fun', 'Utilities for Players')",1282,947,0.009086,0.006712,0.000248,0.015798
"('Humor, Joke or Just for Fun', 'Clothing - Male')",1282,1051,0.009086,0.007449,0.000418,0.016535
"('Chargen', 'Lore-Friendly')",565,8619,0.004004,0.061087,0.001488,0.065091
"('Chargen', 'Animation - Modified')",565,364,0.004004,0.00258,0.000149,0.006584
"('Animation - Modified', 'Environment - Water')",364,301,0.00258,0.002133,0.000177,0.004713
"('Companions', 'Faction: College of Winterhold')",2791,221,0.019781,0.001566,0.000404,0.021347
"('Not Lore-Friendly', 'French')",2051,748,0.014536,0.005301,0.000198,0.019838
"('Magic - Enchantments', 'Non-Playable Resource')",1012,301,0.007172,0.002133,5.7e-05,0.009306
"('ENB Preset', 'Items - Leveled')",76,494,0.000539,0.003501,7e-06,0.00404
"('Cheating', 'Weapons')",997,3646,0.007066,0.025841,0.001503,0.032907
"('Animation - Modified', 'Hair')",364,398,0.00258,0.002821,0.000184,0.005401
"('Chargen', 'Sexy/Skimpy')",565,1268,0.004004,0.008987,0.000262,0.012991
"('Russian', 'Magic - Potions')",581,576,0.004118,0.004082,0.000206,0.0082
"('Leveled Lists', 'Magic - Potions')",516,576,0.003657,0.004082,0.000553,0.007739
"('Face models', 'New textures')",771,4507,0.005464,0.031943,0.001389,0.037407
"('Classes component', 'NPC Vendors')",169,973,0.001198,0.006896,0.000269,0.008094
"('Poses', 'NPCs')",122,3220,0.000865,0.022822,0.000191,0.023686
"('Not Lore-Friendly', 'Armor - Shields')",2051,1628,0.014536,0.011538,0.001021,0.026075
"('Items - Clutter', 'NPCs')",1230,3220,0.008718,0.022822,0.001729,0.031539
"('New Lands', 'Spanish')",460,806,0.00326,0.005712,0.000149,0.008973
"('Guilds / Factions', 'Scripted Events')",572,755,0.004054,0.005351,0.000773,0.009405
"('Environment - Other', 'Polish')",1225,544,0.008682,0.003856,0.000411,0.012538
"('Unrealistic', 'NPC Vendors')",1027,973,0.007279,0.006896,0.00017,0.014175
"('Other languages', 'Dawnguard')",619,1800,0.004387,0.012757,0.000248,0.017144
"('Armor - Shields', 'Dawnguard')",1628,1800,0.011538,0.012757,0.001453,0.024296
"('Dawnguard', 'User Interface')",1800,594,0.012757,0.00421,0.000156,0.016967
"('Poses', 'Races - New')",122,438,0.000865,0.003104,0.000128,0.003969
"('Fair and balanced', 'Other languages')",7082,619,0.050193,0.004387,0.001155,0.05458
"('For female characters', 'Related to Movies/TV/Other Games')",4508,1019,0.03195,0.007222,0.001361,0.039172
"('Fair and balanced', 'Clothing')",7082,1782,0.050193,0.01263,0.004486,0.062823
"('Clothing - Female', 'Locations - Caverns')",1431,441,0.010142,0.003126,0.000432,0.013268
"('Faction: Thieves Guild', 'Cheating')",251,997,0.001779,0.007066,9.9e-05,0.008845
"('Unrealistic', 'NPC Trainers')",1027,264,0.007279,0.001871,6.4e-05,0.00915
"('Related to vampires', 'Locations - Caverns')",680,441,0.004819,0.003126,0.000276,0.007945
"('Related to Movies/TV/Other Games', 'Utilities for Modders')",1019,478,0.007222,0.003388,8.5e-05,0.01061
"('For female characters', 'Environment - Other')",4508,1225,0.03195,0.008682,0.000454,0.040632
"('Body models', 'Tutorials for Modders')",503,221,0.003565,0.001566,5e-05,0.005131
"('Faction: Companions', 'User Interface')",281,594,0.001992,0.00421,2.1e-05,0.006201
"('Official', 'Other languages')",244,619,0.001729,0.004387,0.000191,0.006116
"('Animation - Modified', 'Lore-Friendly')",364,8619,0.00258,0.061087,0.000992,0.063666
"('Environment - Other', 'NPC Trainers')",1225,264,0.008682,0.001871,0.000227,0.010553
"('Not Safe For Work', 'Hearthfire')",284,967,0.002013,0.006854,4.3e-05,0.008866
"('Faction: Dark Brotherhood', 'Items - Apparatus')",233,449,0.001651,0.003182,6.4e-05,0.004834
"('Audio - Voices', 'Clothing - Female')",494,1431,0.003501,0.010142,0.000248,0.013643
"('For female characters', 'Replacer')",4508,3268,0.03195,0.023162,0.005025,0.055112
"('Not Lore-Friendly', 'Not Safe For Work')",2051,284,0.014536,0.002013,0.000943,0.016549
"('Faction: Companions', 'Russian')",281,581,0.001992,0.004118,7.8e-05,0.006109
"('Video', 'Items - Apparatus')",253,449,0.001793,0.003182,0.000113,0.004975
"('Guilds / Factions', 'Items - Clutter')",572,1230,0.004054,0.008718,0.000645,0.012772
"('Classes component', 'Items - Leveled')",169,494,0.001198,0.003501,0.000262,0.004699
"('New Lands', 'Polish')",460,544,0.00326,0.003856,0.000149,0.007116
"('Face models', 'English')",771,12126,0.005464,0.085942,0.003055,0.091406
"('Faction: Dark Brotherhood', 'Books')",233,1045,0.001651,0.007406,0.000113,0.009058
"('Environment - Water', 'Clothing')",301,1782,0.002133,0.01263,0.000255,0.014763
"('Video', 'Creatures - Rideable')",253,275,0.001793,0.001949,7.8e-05,0.003742
"('Guilds / Factions', 'Creatures')",572,1103,0.004054,0.007817,0.000695,0.011871
"('Companions', 'Creatures - Rideable')",2791,275,0.019781,0.001949,0.00061,0.02173
"('German', 'SKSE (Skyrim Script Extender)')",1083,1199,0.007676,0.008498,0.000418,0.016174
"('Unrealistic', 'Books')",1027,1045,0.007279,0.007406,0.000198,0.014685
"('Sexy/Skimpy', 'Tutorials for Players')",1268,204,0.008987,0.001446,5e-05,0.010433
"('Body models', ""Modder's Resource"")",503,1367,0.003565,0.009689,0.000354,0.013253
"('Performance Optimization', 'Items - Clutter')",604,1230,0.004281,0.008718,0.000347,0.012998
"('Replacer', 'Polish')",3268,544,0.023162,0.003856,0.000553,0.027017
"('New textures', 'Clothing - Male')",4507,1051,0.031943,0.007449,0.002771,0.039392
"('Environment - Weather', 'Locations - Dungeons')",342,764,0.002424,0.005415,0.000298,0.007839
"('Gameplay Effects/Changes', 'Video')",3718,253,0.026351,0.001793,0.000532,0.028144
"('Creatures - Rideable', 'Locations - Caverns')",275,441,0.001949,0.003126,0.000262,0.005075
"('Related to horses', 'Tutorials for Modders')",379,221,0.002686,0.001566,5.7e-05,0.004252
"('New Lands', 'Books')",460,1045,0.00326,0.007406,0.00078,0.010667
"('Sexy/Skimpy', 'Magic - Spells')",1268,2019,0.008987,0.01431,0.000198,0.023296
"('Sexy/Skimpy', 'Locations - Caverns')",1268,441,0.008987,0.003126,8.5e-05,0.012112
"('Faction: College of Winterhold', 'Faction: Companions')",221,281,0.001566,0.001992,0.000347,0.003558
"('Audio - Voices', 'Locations - Player-Owned')",494,1952,0.003501,0.013835,0.000553,0.017336
"('Replacer', 'Other languages')",3268,619,0.023162,0.004387,0.000617,0.027549
"('Audio - Music', 'Dawnguard')",429,1800,0.003041,0.012757,0.000255,0.015798
"('For male characters', 'Lore-Friendly')",3578,8619,0.025359,0.061087,0.009667,0.086445
"('Not Lore-Friendly', 'NPC Trainers')",2051,264,0.014536,0.001871,0.000156,0.016407
"('Magic - Enchantments', 'Dragonborn')",1012,1519,0.007172,0.010766,0.000872,0.017938
"('Not Safe For Work', 'Dragonborn')",284,1519,0.002013,0.010766,5e-05,0.012779
"('For female characters', 'Locations - Buildings')",4508,1693,0.03195,0.011999,0.001198,0.043949
"('For male characters', 'Items - Furniture')",3578,706,0.025359,0.005004,0.000659,0.030363
"('Official', 'Sexy/Skimpy')",244,1268,0.001729,0.008987,0.000128,0.010716
"('Hair', 'Video')",398,253,0.002821,0.001793,0.000128,0.004614
"('Other languages', 'Polish')",619,544,0.004387,0.003856,0.001417,0.008243
"('Sexy/Skimpy', 'Non-Playable Resource')",1268,301,0.008987,0.002133,7.1e-05,0.01112
"('Hearthfire', 'Utilities for Players')",967,947,0.006854,0.006712,0.00017,0.013565
"('Environment - Weather', 'Other languages')",342,619,0.002424,0.004387,0.000156,0.006811
"('Creatures - Rideable', 'Locations - Dungeons')",275,764,0.001949,0.005415,0.000283,0.007364
"('Related to Movies/TV/Other Games', 'Environment - Other')",1019,1225,0.007222,0.008682,0.000283,0.015904
"('Cheating', 'Races - Modified')",997,595,0.007066,0.004217,0.000106,0.011283
"('Guilds / Factions', 'Magic - Enchantments')",572,1012,0.004054,0.007172,0.000539,0.011226
"('Environment - Other', 'Weapons')",1225,3646,0.008682,0.025841,0.000546,0.034523
"('Dawnguard', 'Utilities for Players')",1800,947,0.012757,0.006712,0.000269,0.019469
"('Replacer', 'Locations - World Map')",3268,1159,0.023162,0.008214,0.00056,0.031376
"('Locations - Player-Owned', 'Dawnguard')",1952,1800,0.013835,0.012757,0.001999,0.026592
"('Faction: Thieves Guild', 'For female characters')",251,4508,0.001779,0.03195,0.000425,0.033729
"('Environment - Water', 'Lighting')",301,760,0.002133,0.005386,0.001127,0.00752
"('Poses', 'Non-Playable Resource')",122,301,0.000865,0.002133,3.5e-05,0.002998
"('Replacer', 'Italian')",3268,723,0.023162,0.005124,0.000567,0.028286
"('Faction: College of Winterhold', 'Locations - Caverns')",221,441,0.001566,0.003126,8.5e-05,0.004692
"('Spanish', 'Creatures - Rideable')",806,275,0.005712,0.001949,0.00012,0.007662
"('Classes component', 'Locations - Caverns')",169,441,0.001198,0.003126,0.000135,0.004323
"('Sexy/Skimpy', 'Translation')",1268,2103,0.008987,0.014905,0.000241,0.023892
"('French', 'Locations - Dungeons')",748,764,0.005301,0.005415,0.000269,0.010716
"('Animation - New', 'SKSE (Skyrim Script Extender)')",269,1199,0.001907,0.008498,0.000333,0.010404
"('Audio - Music', 'Books')",429,1045,0.003041,0.007406,0.000475,0.010447
"('Animation - New', 'New Lands')",269,460,0.001907,0.00326,0.000156,0.005167
"('ENB Preset', 'Lore-Friendly')",76,8619,0.000539,0.061087,0.000113,0.061625
