Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Czech', 'Japanese')",8,167,0.000125,0.002616,0.00011,0.002742
"('Czech', 'Plants / Foliage')",8,226,0.000125,0.003541,3.1e-05,0.003666
"('Video', 'Unrealistic')",128,81,0.002005,0.001269,1.6e-05,0.003274
"('Unbalanced', 'Environment - Sky')",69,105,0.001081,0.001645,1.6e-05,0.002726
"('Japanese', 'Items - Ingredients')",167,319,0.002616,0.004997,7.8e-05,0.007614
"('BAB Bodybase', 'Birthsigns')",72,67,0.001128,0.00105,1.6e-05,0.002178
"('Czech', 'Italian')",8,81,0.000125,0.001269,0.00011,0.001394
"('Gameplay Effects/Changes', 'Lore-Friendly')",1345,1738,0.021071,0.027228,0.004465,0.048299
"('Related to vampires', 'New models')",250,1961,0.003917,0.030721,0.000564,0.034638
"('Chargen', 'Anime')",108,88,0.001692,0.001379,3.1e-05,0.003071
"('Classes component', 'Italian')",117,81,0.001833,0.001269,3.1e-05,0.003102
"('Items - Leveled', 'NPCs')",166,1098,0.002601,0.017201,0.000924,0.019802
"('Performance Optimization', 'Polish')",162,53,0.002538,0.00083,6.3e-05,0.003368
"('Fair and balanced', 'Hair')",449,178,0.007034,0.002789,0.000141,0.009823
"('Translation', 'Locations - World Map')",32,522,0.000501,0.008178,3.1e-05,0.008679
"('Animation - New', 'Shivering Isles')",206,708,0.003227,0.011092,0.000172,0.014319
"('Environment - Water', ""Modder's Resource"")",84,1338,0.001316,0.020961,0.000172,0.022277
"('Locations - World Map', 'COBL (Common Oblivion)')",522,118,0.008178,0.001849,9.4e-05,0.010026
"('Audio - Music', 'Anime')",203,88,0.00318,0.001379,1.6e-05,0.004559
"('Video', 'Tutorials for Modders')",128,95,0.002005,0.001488,0.000204,0.003494
"('Related to vampires', 'Saved games')",250,481,0.003917,0.007535,3.1e-05,0.011452
"('Environment - Sky', 'Spanish')",105,93,0.001645,0.001457,0.000125,0.003102
"('Related to vampires', 'Clothing')",250,1016,0.003917,0.015917,0.000298,0.019833
"('New Lands', 'Italian')",325,81,0.005091,0.001269,4.7e-05,0.00636
"('Body models', 'Magic - Potions')",144,230,0.002256,0.003603,0.00011,0.005859
"('Related to Movies/TV/Other Games', 'User Interface')",478,226,0.007488,0.003541,4.7e-05,0.011029
"('Robert Female Bodybase', 'Saved games')",129,481,0.002021,0.007535,4.7e-05,0.009556
"('Guilds / Factions', 'Lore-Friendly')",247,1738,0.00387,0.027228,0.001457,0.031097
"('Armor - Shields', 'Items - Leveled')",780,166,0.01222,0.002601,0.001206,0.01482
"('Animation - Modified', 'Video')",148,128,0.002319,0.002005,9.4e-05,0.004324
"('Other languages', 'Items - Ingredients')",28,319,0.000439,0.004997,1.6e-05,0.005436
"('Guilds / Factions', 'COBL (Common Oblivion)')",247,118,0.00387,0.001849,6.3e-05,0.005718
"('Italian', 'Locations - Buildings')",81,839,0.001269,0.013144,0.000141,0.014413
"('Lighting', 'Clothing')",159,1016,0.002491,0.015917,0.000376,0.018408
"('French', 'Clothing - Male')",170,226,0.002663,0.003541,1.6e-05,0.006204
"('Companion Friendly', 'Items - Ingredients')",368,319,0.005765,0.004997,0.000501,0.010763
"('For female characters', 'Items - Apparatus')",1825,186,0.028591,0.002914,0.000909,0.031505
"('Italian', 'Locations - World Map')",81,522,0.001269,0.008178,0.000125,0.009447
"('Official', 'NPC Vendors')",43,546,0.000674,0.008554,4.7e-05,0.009227
"('Nudity', 'Magic - Spells')",225,614,0.003525,0.009619,6.3e-05,0.013144
"('Italian', 'Plants / Foliage')",81,226,0.001269,0.003541,9.4e-05,0.004809
"('BAB Bodybase', 'Audio - Sound FX')",72,190,0.001128,0.002977,3.1e-05,0.004105
"('Armor - Shields', 'Creatures - Rideable')",780,148,0.01222,0.002319,0.000564,0.014538
"('TFF/UFF Bodybase', 'Unrealistic')",156,81,0.002444,0.001269,3.1e-05,0.003713
"('Animation - New', 'NPC Trainers')",206,173,0.003227,0.00271,0.00011,0.005937
"('Non-Playable Resource', 'User Interface')",237,226,0.003713,0.003541,0.000219,0.007253
"('Poses', 'Related to Movies/TV/Other Games')",49,478,0.000768,0.007488,4.7e-05,0.008256
"('Locations - Buildings', 'Magic - Spells')",839,614,0.013144,0.009619,0.001253,0.022763
"('Unbalanced', 'User Interface')",69,226,0.001081,0.003541,1.6e-05,0.004622
"('Companions', 'Nudity')",705,225,0.011045,0.003525,0.000298,0.014569
"('Animation - Modified', 'Races - Modified')",148,253,0.002319,0.003964,0.000141,0.006282
"('Saved games', 'Items - Ingredients')",481,319,0.007535,0.004997,3.1e-05,0.012533
"('Quests', 'Clothing')",636,1016,0.009964,0.015917,0.00152,0.02588
"('Environment - Water', 'Magic - Enchantments')",84,358,0.001316,0.005608,0.000188,0.006924
"('Fair and balanced', 'Lighting')",449,159,0.007034,0.002491,0.000157,0.009525
"('Companion Friendly', 'Clothing - Female')",368,452,0.005765,0.007081,0.00058,0.012846
"('Classes component', 'Items - Furniture')",117,322,0.001833,0.005044,0.00011,0.006877
"('Companion Friendly', 'OBSE (Oblivion Script Extender)')",368,819,0.005765,0.012831,0.000909,0.018596
"('Books', 'Clothing - Female')",430,452,0.006736,0.007081,0.000517,0.013818
"('Performance Optimization', 'Poses')",162,49,0.002538,0.000768,6.3e-05,0.003306
"('Items - Clutter', 'Items - Ingredients')",621,319,0.009729,0.004997,0.002742,0.014726
"('Hair', 'Non-Playable Resource')",178,237,0.002789,0.003713,4.7e-05,0.006501
"('Scripted Events', 'Lore-Friendly')",562,1738,0.008804,0.027228,0.002945,0.036032
"('Leveled Lists', 'Items - Clutter')",150,621,0.00235,0.009729,0.000533,0.012079
"('Environment - Water', 'Creatures - Rideable')",84,148,0.001316,0.002319,0.000172,0.003635
"('Not Lore-Friendly', 'Not Safe For Work')",262,35,0.004105,0.000548,0.000235,0.004653
"('Face models', 'Creatures')",258,461,0.004042,0.007222,0.000188,0.011264
"('Clothing - Female', 'Shivering Isles')",452,708,0.007081,0.011092,0.000376,0.018173
"('Animation - Modified', 'Environment - Sky')",148,105,0.002319,0.001645,7.8e-05,0.003964
"('EC/HGEC Bodybase', 'Robert Female Bodybase')",878,129,0.013755,0.002021,0.00058,0.015776
"('Related to horses', 'Locations - Player-Owned')",194,1130,0.003039,0.017703,0.000392,0.020742
"('Fair and balanced', 'New textures')",449,2621,0.007034,0.041061,0.001551,0.048095
"('EC/HGEC Bodybase', 'Magic - Enchantments')",878,358,0.013755,0.005608,0.000219,0.019363
"('Robert Female Bodybase', 'Anime')",129,88,0.002021,0.001379,3.1e-05,0.0034
"('Birthsigns', 'Body models')",67,144,0.00105,0.002256,6.3e-05,0.003306
"('Performance Optimization', 'Creatures')",162,461,0.002538,0.007222,0.000141,0.00976
"('Leveled Lists', 'Locations - World Map')",150,522,0.00235,0.008178,0.000329,0.010528
"('Polish', 'Creatures - Rideable')",53,148,0.00083,0.002319,1.6e-05,0.003149
"('Poses', 'Video')",49,128,0.000768,0.002005,6.3e-05,0.002773
"('Nudity', 'Items - Apparatus')",225,186,0.003525,0.002914,6.3e-05,0.006439
"('Robert Male Bodybase', 'Audio - Music')",223,203,0.003494,0.00318,4.7e-05,0.006674
"('Lore-Friendly', 'Books')",1738,430,0.027228,0.006736,0.002225,0.033964
"('Environment - Other', 'Sexy/Skimpy')",346,267,0.00542,0.004183,3.1e-05,0.009603
"('Animation - New', 'Environment - Other')",206,346,0.003227,0.00542,0.000235,0.008648
"('Items - Ingredients', 'Utilities for Modders')",319,236,0.004997,0.003697,9.4e-05,0.008695
"('Performance Optimization', 'Not Lore-Friendly')",162,262,0.002538,0.004105,1.6e-05,0.006642
"('Environment - Other', 'Items - Ingredients')",346,319,0.00542,0.004997,0.00047,0.010418
"('Robert Male Bodybase', 'Leveled Lists')",223,150,0.003494,0.00235,3.1e-05,0.005843
"('Face models', 'Guilds / Factions')",258,247,0.004042,0.00387,0.000125,0.007911
"('Items - Furniture', 'Shivering Isles')",322,708,0.005044,0.011092,0.000627,0.016136
"('New Lands', 'Unrealistic')",325,81,0.005091,0.001269,4.7e-05,0.00636
"('Replacer', 'Weapons')",898,1765,0.014068,0.027651,0.000987,0.041719
"('Gameplay Effects/Changes', 'Locations - World Map')",1345,522,0.021071,0.008178,0.00094,0.029249
"('Companion Friendly', 'Official')",368,43,0.005765,0.000674,7.8e-05,0.006439
"('Poses', 'Robert Male Bodybase')",49,223,0.000768,0.003494,4.7e-05,0.004261
"('Leveled Lists', 'English')",150,6911,0.00235,0.108269,0.00177,0.110618
"('Companion Friendly', 'For male characters')",368,1242,0.005765,0.019457,0.00105,0.025222
"('Robert Female Bodybase', 'Environment - Weather')",129,101,0.002021,0.001582,4.7e-05,0.003603
"('Sexy/Skimpy', ""Modder's Resource"")",267,1338,0.004183,0.020961,7.8e-05,0.025144
"('Related to vampires', 'New textures')",250,2621,0.003917,0.041061,0.00083,0.044977
"('New models', 'NPCs')",1961,1098,0.030721,0.017201,0.003635,0.047923
"('Races - Modified', 'Anime')",253,88,0.003964,0.001379,6.3e-05,0.005342
"('Locations - Player-Owned', 'Non-Playable Resource')",1130,237,0.017703,0.003713,6.3e-05,0.021416
"('Robert Male Bodybase', 'Face models')",223,258,0.003494,0.004042,0.000345,0.007535
"('Guilds / Factions', 'Magic - Enchantments')",247,358,0.00387,0.005608,0.000548,0.009478
"('Environment - Other', 'Clothing - Male')",346,226,0.00542,0.003541,0.000125,0.008961
"('Body models', ""Modder's Resource"")",144,1338,0.002256,0.020961,0.000392,0.023217
"('Czech', 'Locations - Dungeons')",8,477,0.000125,0.007473,1.6e-05,0.007598
"('Environment - Other', 'Saved games')",346,481,0.00542,0.007535,1.6e-05,0.012956
"('Related to Movies/TV/Other Games', 'Clothing - Male')",478,226,0.007488,0.003541,0.000376,0.011029
"('Leveled Lists', 'Not Safe For Work')",150,35,0.00235,0.000548,1.6e-05,0.002898
"('Scripted Events', 'Other languages')",562,28,0.008804,0.000439,4.7e-05,0.009243
"('Other languages', 'Locations - Player-Owned')",28,1130,0.000439,0.017703,7.8e-05,0.018141
"('Humor, Joke or Just for Fun', 'Sexy/Skimpy')",256,267,0.004011,0.004183,0.000125,0.008193
"('For female characters', 'Knight of The Nine')",1825,80,0.028591,0.001253,0.000298,0.029844
"('Quests', 'Locations - Dungeons')",636,477,0.009964,0.007473,0.00318,0.017436
"('Anime', 'Locations - World Map')",88,522,0.001379,0.008178,3.1e-05,0.009556
"('Audio - Music', 'Saved games')",203,481,0.00318,0.007535,3.1e-05,0.010716
"('Tutorials for Modders', 'User Interface')",95,226,0.001488,0.003541,0.000141,0.005029
"('Compilation', 'Shivering Isles')",192,708,0.003008,0.011092,0.000486,0.0141
"('Birthsigns', 'Races - New')",67,515,0.00105,0.008068,0.000219,0.009118
"('Video', 'Knight of The Nine')",128,80,0.002005,0.001253,1.6e-05,0.003259
"('Czech', 'Clothing')",8,1016,0.000125,0.015917,1.6e-05,0.016042
"('New Lands', 'German')",325,396,0.005091,0.006204,0.000298,0.011295
"('Classes component', 'Anime')",117,88,0.001833,0.001379,1.6e-05,0.003212
"('TFF/UFF Bodybase', 'Magic - Potions')",156,230,0.002444,0.003603,1.6e-05,0.006047
"('Companion Friendly', 'Sexy/Skimpy')",368,267,0.005765,0.004183,0.000157,0.009948
"('Magic - Potions', 'COBL (Common Oblivion)')",230,118,0.003603,0.001849,1.6e-05,0.005452
"('Not Safe For Work', 'OBMM (Oblivion Mod Manager)')",35,116,0.000548,0.001817,1.6e-05,0.002366
"('Poses', 'Utilities for Players')",49,368,0.000768,0.005765,7.8e-05,0.006533
"('Hair', 'COBL (Common Oblivion)')",178,118,0.002789,0.001849,1.6e-05,0.004637
"('Related to vampires', 'Creatures - Rideable')",250,148,0.003917,0.002319,3.1e-05,0.006235
"('Audio - Music', 'New models')",203,1961,0.00318,0.030721,0.000486,0.033901
"('Audio - Sound FX', 'User Interface')",190,226,0.002977,0.003541,6.3e-05,0.006517
"('Anime', 'OBSE (Oblivion Script Extender)')",88,819,0.001379,0.012831,9.4e-05,0.014209
"('Magic - Enchantments', 'Non-Playable Resource')",358,237,0.005608,0.003713,4.7e-05,0.009321
"('Hair', 'Locations - Player-Owned')",178,1130,0.002789,0.017703,0.000157,0.020491
"('Official', 'Magic - Potions')",43,230,0.000674,0.003603,9.4e-05,0.004277
"('Birthsigns', 'Saved games')",67,481,0.00105,0.007535,3.1e-05,0.008585
"('ENB Preset', 'Clothing')",8,1016,0.000125,0.015917,1.6e-05,0.016042
"('Audio - Sound FX', 'Spanish')",190,93,0.002977,0.001457,6.3e-05,0.004434
"('Audio - Music', ""Modder's Resource"")",203,1338,0.00318,0.020961,0.000235,0.024141
"('Audio - Music', 'Environment - Weather')",203,101,0.00318,0.001582,0.000188,0.004763
"('Leveled Lists', 'Races - Modified')",150,253,0.00235,0.003964,0.000125,0.006313
"('Robert Female Bodybase', 'Utilities for Modders')",129,236,0.002021,0.003697,6.3e-05,0.005718
"('Items - Furniture', 'Non-Playable Resource')",322,237,0.005044,0.003713,0.000329,0.008757
"('Official', 'New textures')",43,2621,0.000674,0.041061,6.3e-05,0.041735
"('Animation - Modified', 'Classes component')",148,117,0.002319,0.001833,7.8e-05,0.004152
"('TFF/UFF Bodybase', 'English')",156,6911,0.002444,0.108269,0.001896,0.110712
"('New textures', 'Armor - Shields')",2621,780,0.041061,0.01222,0.005812,0.05328
"('Audio - Voices', 'Non-Playable Resource')",157,237,0.00246,0.003713,7.8e-05,0.006172
"('Birthsigns', 'New models')",67,1961,0.00105,0.030721,9.4e-05,0.031771
"('Animation - New', 'Locations - Caverns')",206,284,0.003227,0.004449,0.000204,0.007676
"('Races - New', 'Czech')",515,8,0.008068,0.000125,1.6e-05,0.008193
"('Audio - Music', 'Utilities for Players')",203,368,0.00318,0.005765,0.000141,0.008945
"('Magic - Potions', 'Utilities for Modders')",230,236,0.003603,0.003697,6.3e-05,0.0073
"('Anime', 'Plants / Foliage')",88,226,0.001379,0.003541,1.6e-05,0.004919
"('Related to Movies/TV/Other Games', 'Weapons')",478,1765,0.007488,0.027651,0.002193,0.035139
"('BAB Bodybase', 'Humor, Joke or Just for Fun')",72,256,0.001128,0.004011,3.1e-05,0.005138
"('Leveled Lists', 'Clothing')",150,1016,0.00235,0.015917,0.000501,0.018267
"('Compilation', 'Tutorials for Players')",192,40,0.003008,0.000627,3.1e-05,0.003635
"('Face models', 'Items - Clutter')",258,621,0.004042,0.009729,0.00011,0.013771
"('Animation - Modified', 'New Lands')",148,325,0.002319,0.005091,0.000141,0.00741
"('Magic - Spells', 'Tutorials for Modders')",614,95,0.009619,0.001488,7.8e-05,0.011107
"('Environment - Other', 'New textures')",346,2621,0.00542,0.041061,0.001723,0.046481
"('Companions', 'Magic - Spells')",705,614,0.011045,0.009619,0.000862,0.020664
"('Locations - Player-Owned', 'Locations - World Map')",1130,522,0.017703,0.008178,0.002961,0.02588
"('Classes component', 'Books')",117,430,0.001833,0.006736,0.000204,0.008569
"('New Lands', 'Weapons')",325,1765,0.005091,0.027651,0.001551,0.032742
"('Fair and balanced', 'Items - Clutter')",449,621,0.007034,0.009729,0.000736,0.016763
"('Compilation', 'Fair and balanced')",192,449,0.003008,0.007034,0.000219,0.010042
"('Fair and balanced', 'Creatures - Rideable')",449,148,0.007034,0.002319,0.000266,0.009353
"('Spanish', 'Items - Clutter')",93,621,0.001457,0.009729,7.8e-05,0.011186
"('Italian', 'Tutorials for Players')",81,40,0.001269,0.000627,1.6e-05,0.001896
"('Spanish', 'Armor - Shields')",93,780,0.001457,0.01222,0.000157,0.013677
"('Compilation', 'Plants / Foliage')",192,226,0.003008,0.003541,0.000172,0.006548
"('Animation - Modified', 'Lighting')",148,159,0.002319,0.002491,0.00011,0.004809
"('Environment - Sky', ""Modder's Resource"")",105,1338,0.001645,0.020961,0.000219,0.022606
"('New models', 'Not Lore-Friendly')",1961,262,0.030721,0.004105,0.000721,0.034826
"('Quests', 'Polish')",636,53,0.009964,0.00083,0.000125,0.010794
"('Races - Modified', 'Russian')",253,228,0.003964,0.003572,1.6e-05,0.007535
"('For female characters', 'OBMM (Oblivion Mod Manager)')",1825,116,0.028591,0.001817,0.000439,0.030408
"('Body models', 'Environment - Weather')",144,101,0.002256,0.001582,0.00011,0.003838
"('Races - Modified', 'Locations - Dungeons')",253,477,0.003964,0.007473,0.000251,0.011436
"('Related to vampires', 'Magic - Enchantments')",250,358,0.003917,0.005608,0.000172,0.009525
"('Guilds / Factions', 'Italian')",247,81,0.00387,0.001269,4.7e-05,0.005138
"('Companion Friendly', 'Spanish')",368,93,0.005765,0.001457,0.000125,0.007222
"('Animation - New', 'Items - Leveled')",206,166,0.003227,0.002601,0.000141,0.005828
"('Gameplay Effects/Changes', 'Replacer')",1345,898,0.021071,0.014068,0.001441,0.035139
"('Lore-Friendly', 'Knight of The Nine')",1738,80,0.027228,0.001253,0.000376,0.028481
"('Magic - Enchantments', 'Tutorials for Modders')",358,95,0.005608,0.001488,9.4e-05,0.007097
"('Related to vampires', 'Birthsigns')",250,67,0.003917,0.00105,9.4e-05,0.004966
"('Japanese', 'Weapons')",167,1765,0.002616,0.027651,0.000204,0.030267
"('Items - Furniture', 'Tutorials for Players')",322,40,0.005044,0.000627,6.3e-05,0.005671
"('Fair and balanced', 'Locations - Buildings')",449,839,0.007034,0.013144,0.001316,0.020178
"('Companion Friendly', 'Magic - Spells')",368,614,0.005765,0.009619,0.000548,0.015384
"('Lighting', 'English')",159,6911,0.002491,0.108269,0.001692,0.110759
"('Quests', 'Items - Leveled')",636,166,0.009964,0.002601,0.000611,0.012564
"('Birthsigns', 'Environment - Water')",67,84,0.00105,0.001316,4.7e-05,0.002366
"('Sexy/Skimpy', 'Locations - Player-Owned')",267,1130,0.004183,0.017703,6.3e-05,0.021886
"('BAB Bodybase', 'Audio - Music')",72,203,0.001128,0.00318,4.7e-05,0.004308
"('Locations - Dungeons', 'User Interface')",477,226,0.007473,0.003541,3.1e-05,0.011013
"('Environment - Weather', 'Tutorials for Modders')",101,95,0.001582,0.001488,1.6e-05,0.003071
"('Classes component', 'German')",117,396,0.001833,0.006204,9.4e-05,0.008037
"('Companions', 'Video')",705,128,0.011045,0.002005,0.000172,0.01305
"('Related to vampires', 'Czech')",250,8,0.003917,0.000125,1.6e-05,0.004042
"('Cheating', 'Creatures')",396,461,0.006204,0.007222,0.000157,0.013426
"('Saved games', 'Utilities for Modders')",481,236,0.007535,0.003697,6.3e-05,0.011233
"('Compilation', 'Poses')",192,49,0.003008,0.000768,7.8e-05,0.003776
"('Italian', 'Russian')",81,228,0.001269,0.003572,0.000705,0.004841
"('Quests', 'COBL (Common Oblivion)')",636,118,0.009964,0.001849,0.000251,0.011812
"('Lore-Friendly', 'Not Lore-Friendly')",1738,262,0.027228,0.004105,3.1e-05,0.031332
"('OBMM (Oblivion Mod Manager)', 'Tutorials for Players')",116,40,0.001817,0.000627,3.1e-05,0.002444
"('BAB Bodybase', 'Items - Ingredients')",72,319,0.001128,0.004997,4.7e-05,0.006125
"('EC/HGEC Bodybase', 'Weapons')",878,1765,0.013755,0.027651,0.000862,0.041406
"('Clothing - Female', 'Items - Apparatus')",452,186,0.007081,0.002914,0.000329,0.009995
"('Official', ""Modder's Resource"")",43,1338,0.000674,0.020961,7.8e-05,0.021635
"('New textures', 'Spanish')",2621,93,0.041061,0.001457,0.000329,0.042518
"('Poses', 'Spanish')",49,93,0.000768,0.001457,3.1e-05,0.002225
"('Japanese', 'Shivering Isles')",167,708,0.002616,0.011092,0.000157,0.013708
"('Japanese', 'Spanish')",167,93,0.002616,0.001457,0.00058,0.004073
"('For female characters', 'Unbalanced')",1825,69,0.028591,0.001081,0.000204,0.029672
"('Related to Movies/TV/Other Games', 'Races - New')",478,515,0.007488,0.008068,0.000987,0.015556
"('ENB Preset', 'Lore-Friendly')",8,1738,0.000125,0.027228,1.6e-05,0.027353
"('Translation', 'COBL (Common Oblivion)')",32,118,0.000501,0.001849,3.1e-05,0.00235
"('Clothing - Female', 'Magic - Enchantments')",452,358,0.007081,0.005608,0.000517,0.01269
"('Cheating', 'OBMM (Oblivion Mod Manager)')",396,116,0.006204,0.001817,6.3e-05,0.008021
"('Poses', 'Plants / Foliage')",49,226,0.000768,0.003541,1.6e-05,0.004308
"('New models', 'Clothing - Male')",1961,226,0.030721,0.003541,0.001097,0.034262
"('Performance Optimization', 'Locations - World Map')",162,522,0.002538,0.008178,0.000188,0.010716
"('Audio - Sound FX', 'New models')",190,1961,0.002977,0.030721,0.001097,0.033698
"('Related to Movies/TV/Other Games', 'German')",478,396,0.007488,0.006204,0.000376,0.013692
"('Clothing', 'Locations - Player-Owned')",1016,1130,0.015917,0.017703,0.00152,0.03362
"('Audio - Voices', 'Spanish')",157,93,0.00246,0.001457,4.7e-05,0.003917
"('Companion Friendly', 'NPC Trainers')",368,173,0.005765,0.00271,0.000345,0.008475
"('Face models', 'Saved games')",258,481,0.004042,0.007535,0.000893,0.011577
"('Environment - Other', 'German')",346,396,0.00542,0.006204,0.000376,0.011624
"('Related to vampires', 'Shivering Isles')",250,708,0.003917,0.011092,0.000251,0.015008
"('Related to horses', 'TFF/UFF Bodybase')",194,156,0.003039,0.002444,1.6e-05,0.005483
"('Video', 'Anime')",128,88,0.002005,0.001379,3.1e-05,0.003384
"('Animation - New', 'Humor, Joke or Just for Fun')",206,256,0.003227,0.004011,0.000172,0.007238
"('Animation - New', 'Magic - Potions')",206,230,0.003227,0.003603,0.000219,0.00683
"('Clothing - Male', 'NPC Trainers')",226,173,0.003541,0.00271,0.000282,0.006251
"('Other languages', 'NPC Trainers')",28,173,0.000439,0.00271,3.1e-05,0.003149
"('Official', 'Japanese')",43,167,0.000674,0.002616,3.1e-05,0.00329
"('EC/HGEC Bodybase', 'Creatures - Rideable')",878,148,0.013755,0.002319,6.3e-05,0.016073
"('Hair', 'Magic - Potions')",178,230,0.002789,0.003603,0.000157,0.006392
"('Magic - Enchantments', 'OBMM (Oblivion Mod Manager)')",358,116,0.005608,0.001817,0.000157,0.007426
"('Unbalanced', 'Japanese')",69,167,0.001081,0.002616,1.6e-05,0.003697
"('Fair and balanced', 'Audio - Voices')",449,157,0.007034,0.00246,0.000235,0.009494
"('Creatures', 'Magic - Spells')",461,614,0.007222,0.009619,0.001269,0.016841
"('New textures', 'Scripted Events')",2621,562,0.041061,0.008804,0.002789,0.049865
"('Nudity', 'Magic - Enchantments')",225,358,0.003525,0.005608,3.1e-05,0.009133
"('TFF/UFF Bodybase', 'Lore-Friendly')",156,1738,0.002444,0.027228,0.000251,0.029672
"('Animation - New', 'New textures')",206,2621,0.003227,0.041061,0.000877,0.044288
"('Plants / Foliage', 'Non-Playable Resource')",226,237,0.003541,0.003713,9.4e-05,0.007253
"('For male characters', 'Not Lore-Friendly')",1242,262,0.019457,0.004105,0.000533,0.023562
"('Environment - Water', 'Not Lore-Friendly')",84,262,0.001316,0.004105,1.6e-05,0.00542
"('Audio - Sound FX', 'Locations - World Map')",190,522,0.002977,0.008178,0.000548,0.011154
"('Audio - Sound FX', 'Environment - Other')",190,346,0.002977,0.00542,0.00047,0.008397
"('Anime', 'Not Safe For Work')",88,35,0.001379,0.000548,7.8e-05,0.001927
"('Replacer', 'Books')",898,430,0.014068,0.006736,0.000251,0.020805
"('Poses', 'Lighting')",49,159,0.000768,0.002491,3.1e-05,0.003259
"('Environment - Other', 'COBL (Common Oblivion)')",346,118,0.00542,0.001849,1.6e-05,0.007269
"('For female characters', 'Italian')",1825,81,0.028591,0.001269,0.000235,0.02986
"('Quests', 'Weapons')",636,1765,0.009964,0.027651,0.00329,0.037614
"('Scripted Events', 'Armor - Shields')",562,780,0.008804,0.01222,0.001238,0.021024
"('Replacer', 'Environment - Other')",898,346,0.014068,0.00542,0.000971,0.019489
"('Gameplay Effects/Changes', 'Sexy/Skimpy')",1345,267,0.021071,0.004183,0.000125,0.025254
"('Companions', 'For male characters')",705,1242,0.011045,0.019457,0.001191,0.030502
"('Lighting', 'Not Safe For Work')",159,35,0.002491,0.000548,1.6e-05,0.003039
"('Official', 'Races - Modified')",43,253,0.000674,0.003964,3.1e-05,0.004637
"('Performance Optimization', 'Locations - Player-Owned')",162,1130,0.002538,0.017703,0.000157,0.020241
