Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Skills', 'Italian')",29,14,0.020379,0.009838,0.000703,0.030218
"('Audio - Music', ""Modder's Resource"")",2,20,0.001405,0.014055,0.000703,0.01546
"('New models', 'Humor, Joke or Just for Fun')",37,2,0.026001,0.001405,0.000703,0.027407
"('Face models', 'Czech')",127,10,0.089248,0.007027,0.001405,0.096275
"('Gameplay Effects/Changes', 'New models')",118,37,0.082923,0.026001,0.004919,0.108925
"('French', 'Other languages')",15,11,0.010541,0.00773,0.007027,0.018271
"('Anime', 'English')",3,200,0.002108,0.140548,0.000703,0.142656
"('Compilation', 'Official')",4,10,0.002811,0.007027,0.001405,0.009838
"('Italian', 'Spanish')",14,15,0.009838,0.010541,0.009838,0.020379
"('Face models', 'Anime')",127,3,0.089248,0.002108,0.000703,0.091356
"('Saved games', 'Tutorials for Modders')",29,8,0.020379,0.005622,0.000703,0.026001
"('Performance Optimization', 'Italian')",3,14,0.002108,0.009838,0.000703,0.011947
"('Czech', 'Italian')",10,14,0.007027,0.009838,0.007027,0.016866
"('Audio - Music', 'Audio - Sound FX')",2,1,0.001405,0.000703,0.000703,0.002108
"('Tutorials for Modders', 'User Interface')",8,13,0.005622,0.009136,0.000703,0.014758
"('Gameplay Effects/Changes', 'Other languages')",118,11,0.082923,0.00773,0.002108,0.090654
"('Anime', 'Spanish')",3,15,0.002108,0.010541,0.000703,0.012649
"('Face models', 'Other languages')",127,11,0.089248,0.00773,0.002108,0.096978
"('Scripted Events', 'Utilities for Players')",1,14,0.000703,0.009838,0.000703,0.010541
"('Russian', 'Non-Playable Resource')",25,14,0.017569,0.009838,0.002108,0.027407
"('Compilation', 'Italian')",4,14,0.002811,0.009838,0.001405,0.012649
"('Gameplay Effects/Changes', 'French')",118,15,0.082923,0.010541,0.002811,0.093465
"(""Modder's Resource"", 'Utilities for Modders')",20,5,0.014055,0.003514,0.002811,0.017569
"('Gameplay Effects/Changes', ""Modder's Resource"")",118,20,0.082923,0.014055,0.001405,0.096978
"('Skills', 'German')",29,14,0.020379,0.009838,0.000703,0.030218
"('Gameplay Effects/Changes', 'Face models')",118,127,0.082923,0.089248,0.004216,0.172171
"('New textures', 'Other languages')",198,11,0.139143,0.00773,0.001405,0.146873
"('New models', 'Other languages')",37,11,0.026001,0.00773,0.000703,0.033732
"('User Interface', 'Utilities for Modders')",13,5,0.009136,0.003514,0.000703,0.012649
"('Face models', 'New models')",127,37,0.089248,0.026001,0.00773,0.115249
"('Audio - Music', 'English')",2,200,0.001405,0.140548,0.001405,0.141954
"('Skills', 'English')",29,200,0.020379,0.140548,0.008433,0.160928
"('Quests', 'Tutorials for Players')",2,9,0.001405,0.006325,0.000703,0.00773
"('Gameplay Effects/Changes', 'Official')",118,10,0.082923,0.007027,0.002108,0.089951
"('Polish', 'Spanish')",14,15,0.009838,0.010541,0.009838,0.020379
"('German', 'Spanish')",14,15,0.009838,0.010541,0.009838,0.020379
"('Czech', 'French')",10,15,0.007027,0.010541,0.007027,0.017569
"('English', 'Japanese')",200,14,0.140548,0.009838,0.009838,0.150387
"('Tutorials for Modders', 'Tutorials for Players')",8,9,0.005622,0.006325,0.003514,0.011947
"('Other languages', 'Spanish')",11,15,0.00773,0.010541,0.007027,0.018271
"('Non-Playable Resource', 'User Interface')",14,13,0.009838,0.009136,0.000703,0.018974
"('New textures', 'Polish')",198,14,0.139143,0.009838,0.001405,0.148981
"('English', 'User Interface')",200,13,0.140548,0.009136,0.003514,0.149684
"('Gameplay Effects/Changes', 'Environment - Other')",118,9,0.082923,0.006325,0.002108,0.089248
"('Gameplay Effects/Changes', 'Italian')",118,14,0.082923,0.009838,0.002811,0.092762
"('Environment - Sky', 'New textures')",1,198,0.000703,0.139143,0.000703,0.139845
"('Body models', 'English')",15,200,0.010541,0.140548,0.001405,0.151089
"('Audio - Sound FX', 'English')",1,200,0.000703,0.140548,0.000703,0.141251
"('Polish', 'Non-Playable Resource')",14,14,0.009838,0.009838,0.002108,0.019677
"('New textures', 'Humor, Joke or Just for Fun')",198,2,0.139143,0.001405,0.000703,0.140548
"('Body models', 'Tutorials for Modders')",15,8,0.010541,0.005622,0.000703,0.016163
"('French', 'Non-Playable Resource')",15,14,0.010541,0.009838,0.002108,0.020379
"('French', 'Polish')",15,14,0.010541,0.009838,0.009838,0.020379
"('Gameplay Effects/Changes', 'Nudity')",118,11,0.082923,0.00773,0.000703,0.090654
"('Body models', ""Modder's Resource"")",15,20,0.010541,0.014055,0.001405,0.024596
"('Anime', 'German')",3,14,0.002108,0.009838,0.000703,0.011947
"('French', 'German')",15,14,0.010541,0.009838,0.009838,0.020379
"('Environment - Other', 'Face models')",9,127,0.006325,0.089248,0.000703,0.095573
"('Japanese', 'Russian')",14,25,0.009838,0.017569,0.009838,0.027407
"('Gameplay Effects/Changes', 'New textures')",118,198,0.082923,0.139143,0.004919,0.222066
"('English', 'German')",200,14,0.140548,0.009838,0.009838,0.150387
"('Official', 'Russian')",10,25,0.007027,0.017569,0.007027,0.024596
"('Compilation', 'English')",4,200,0.002811,0.140548,0.002108,0.143359
"('Environment - Other', 'Environment - Sky')",9,1,0.006325,0.000703,0.000703,0.007027
"('Anime', 'French')",3,15,0.002108,0.010541,0.000703,0.012649
"('Skills', 'Other languages')",29,11,0.020379,0.00773,0.000703,0.02811
"('Compilation', 'Polish')",4,14,0.002811,0.009838,0.001405,0.012649
"('French', 'Spanish')",15,15,0.010541,0.010541,0.009838,0.021082
"('Body models', 'New models')",15,37,0.010541,0.026001,0.006325,0.036543
"('Official', 'Italian')",10,14,0.007027,0.009838,0.007027,0.016866
"('New models', 'Utilities for Players')",37,14,0.026001,0.009838,0.001405,0.03584
"('Scripted Events', 'English')",1,200,0.000703,0.140548,0.000703,0.141251
"('Sexy/Skimpy', 'Tutorials for Modders')",6,8,0.004216,0.005622,0.000703,0.009838
"('Audio - Music', 'Non-Playable Resource')",2,14,0.001405,0.009838,0.000703,0.011244
"('Performance Optimization', 'New models')",3,37,0.002108,0.026001,0.000703,0.02811
"('Gameplay Effects/Changes', 'German')",118,14,0.082923,0.009838,0.002811,0.092762
"('New textures', 'Tutorials for Players')",198,9,0.139143,0.006325,0.001405,0.145467
"('Russian', 'Spanish')",25,15,0.017569,0.010541,0.009838,0.02811
"('German', 'Non-Playable Resource')",14,14,0.009838,0.009838,0.002108,0.019677
"('Compilation', 'French')",4,15,0.002811,0.010541,0.001405,0.013352
"('New textures', 'Spanish')",198,15,0.139143,0.010541,0.001405,0.149684
"('English', 'Polish')",200,14,0.140548,0.009838,0.009838,0.150387
"(""Modder's Resource"", 'User Interface')",20,13,0.014055,0.009136,0.001405,0.02319
"('Sexy/Skimpy', 'English')",6,200,0.004216,0.140548,0.004216,0.144765
"('Quests', 'Utilities for Players')",2,14,0.001405,0.009838,0.001405,0.011244
"('Skills', 'Russian')",29,25,0.020379,0.017569,0.001405,0.037948
"('Face models', 'English')",127,200,0.089248,0.140548,0.032326,0.229796
"('German', 'Italian')",14,14,0.009838,0.009838,0.009838,0.019677
"('Face models', 'Polish')",127,14,0.089248,0.009838,0.004216,0.099086
"('Skills', ""Modder's Resource"")",29,20,0.020379,0.014055,0.000703,0.034434
"('Quests', 'Non-Playable Resource')",2,14,0.001405,0.009838,0.000703,0.011244
"('New textures', 'Utilities for Modders')",198,5,0.139143,0.003514,0.000703,0.142656
"('New textures', 'English')",198,200,0.139143,0.140548,0.035137,0.279691
"('Compilation', 'Gameplay Effects/Changes')",4,118,0.002811,0.082923,0.002108,0.085734
"('Gameplay Effects/Changes', 'Japanese')",118,14,0.082923,0.009838,0.002811,0.092762
"('Audio - Sound FX', 'Utilities for Players')",1,14,0.000703,0.009838,0.000703,0.010541
"('Humor, Joke or Just for Fun', ""Modder's Resource"")",2,20,0.001405,0.014055,0.000703,0.01546
"('Gameplay Effects/Changes', 'Anime')",118,3,0.082923,0.002108,0.000703,0.085032
"('Gameplay Effects/Changes', 'User Interface')",118,13,0.082923,0.009136,0.003514,0.092059
"('Face models', 'Utilities for Modders')",127,5,0.089248,0.003514,0.000703,0.092762
"('Anime', 'Czech')",3,10,0.002108,0.007027,0.000703,0.009136
"('Compilation', 'Czech')",4,10,0.002811,0.007027,0.001405,0.009838
"('Gameplay Effects/Changes', 'Saved games')",118,29,0.082923,0.020379,0.001405,0.103303
"('Sexy/Skimpy', 'Utilities for Modders')",6,5,0.004216,0.003514,0.000703,0.00773
"('New models', 'Nudity')",37,11,0.026001,0.00773,0.001405,0.033732
"('Skills', 'French')",29,15,0.020379,0.010541,0.000703,0.030921
"('Quests', 'User Interface')",2,13,0.001405,0.009136,0.000703,0.010541
"('Skills', 'Polish')",29,14,0.020379,0.009838,0.000703,0.030218
"('Humor, Joke or Just for Fun', 'Utilities for Players')",2,14,0.001405,0.009838,0.000703,0.011244
"('Quests', 'Tutorials for Modders')",2,8,0.001405,0.005622,0.000703,0.007027
"('New models', 'Utilities for Modders')",37,5,0.026001,0.003514,0.000703,0.029515
"('Italian', 'Russian')",14,25,0.009838,0.017569,0.009838,0.027407
"('Skills', 'Spanish')",29,15,0.020379,0.010541,0.000703,0.030921
"('Body models', 'Saved games')",15,29,0.010541,0.020379,0.000703,0.030921
"('New textures', 'Anime')",198,3,0.139143,0.002108,0.000703,0.141251
"('Humor, Joke or Just for Fun', 'Tutorials for Players')",2,9,0.001405,0.006325,0.000703,0.00773
"('Official', 'English')",10,200,0.007027,0.140548,0.007027,0.147576
"('Compilation', 'Russian')",4,25,0.002811,0.017569,0.001405,0.020379
"('Anime', 'Russian')",3,25,0.002108,0.017569,0.000703,0.019677
"('Face models', 'Humor, Joke or Just for Fun')",127,2,0.089248,0.001405,0.000703,0.090654
"('Italian', 'Japanese')",14,14,0.009838,0.009838,0.009838,0.019677
"('Quests', ""Modder's Resource"")",2,20,0.001405,0.014055,0.001405,0.01546
"('Environment - Water', 'New textures')",1,198,0.000703,0.139143,0.000703,0.139845
"('Official', 'German')",10,14,0.007027,0.009838,0.007027,0.016866
"('Face models', 'Tutorials for Players')",127,9,0.089248,0.006325,0.001405,0.095573
"('Face models', 'Skills')",127,29,0.089248,0.020379,0.000703,0.109628
"('Face models', 'Utilities for Players')",127,14,0.089248,0.009838,0.001405,0.099086
"('Japanese', 'Spanish')",14,15,0.009838,0.010541,0.009838,0.020379
"('Nudity', 'Sexy/Skimpy')",11,6,0.00773,0.004216,0.001405,0.011947
"('Face models', 'Non-Playable Resource')",127,14,0.089248,0.009838,0.002811,0.099086
"('Anime', 'Other languages')",3,11,0.002108,0.00773,0.000703,0.009838
"('Face models', 'Spanish')",127,15,0.089248,0.010541,0.004216,0.099789
"('New models', 'Tutorials for Players')",37,9,0.026001,0.006325,0.001405,0.032326
"('New models', 'Tutorials for Modders')",37,8,0.026001,0.005622,0.000703,0.031623
"('New textures', 'French')",198,15,0.139143,0.010541,0.001405,0.149684
"('Skills', 'Czech')",29,10,0.020379,0.007027,0.000703,0.027407
"('Tutorials for Modders', 'Utilities for Modders')",8,5,0.005622,0.003514,0.001405,0.009136
"('English', 'Russian')",200,25,0.140548,0.017569,0.016866,0.158117
"('New textures', 'Non-Playable Resource')",198,14,0.139143,0.009838,0.000703,0.148981
"('English', 'Non-Playable Resource')",200,14,0.140548,0.009838,0.005622,0.150387
"('Environment - Other', 'New models')",9,37,0.006325,0.026001,0.000703,0.032326
"('Other languages', 'Russian')",11,25,0.00773,0.017569,0.007027,0.025299
"('Compilation', 'Performance Optimization')",4,3,0.002811,0.002108,0.000703,0.004919
"('Czech', 'Polish')",10,14,0.007027,0.009838,0.007027,0.016866
"('English', ""Modder's Resource"")",200,20,0.140548,0.014055,0.009136,0.154603
"('Gameplay Effects/Changes', 'Scripted Events')",118,1,0.082923,0.000703,0.000703,0.083626
"('Face models', 'Russian')",127,25,0.089248,0.017569,0.004216,0.106817
"('Saved games', 'Non-Playable Resource')",29,14,0.020379,0.009838,0.000703,0.030218
"('Performance Optimization', 'Other languages')",3,11,0.002108,0.00773,0.000703,0.009838
"('User Interface', 'Utilities for Players')",13,14,0.009136,0.009838,0.000703,0.018974
"('Quests', 'English')",2,200,0.001405,0.140548,0.000703,0.141954
"('New textures', 'Russian')",198,25,0.139143,0.017569,0.006325,0.156711
"('English', 'French')",200,15,0.140548,0.010541,0.010541,0.151089
"('Czech', 'Other languages')",10,11,0.007027,0.00773,0.007027,0.014758
"('Face models', 'Sexy/Skimpy')",127,6,0.089248,0.004216,0.000703,0.093465
"('Compilation', 'Non-Playable Resource')",4,14,0.002811,0.009838,0.000703,0.012649
"('Official', 'French')",10,15,0.007027,0.010541,0.007027,0.017569
"('New textures', 'German')",198,14,0.139143,0.009838,0.001405,0.148981
"('Official', 'Spanish')",10,15,0.007027,0.010541,0.007027,0.017569
"('New textures', 'Italian')",198,14,0.139143,0.009838,0.001405,0.148981
"('Audio - Music', 'Utilities for Modders')",2,5,0.001405,0.003514,0.000703,0.004919
"('French', 'Italian')",15,14,0.010541,0.009838,0.009838,0.020379
"('New textures', ""Modder's Resource"")",198,20,0.139143,0.014055,0.004919,0.153197
"('French', 'Russian')",15,25,0.010541,0.017569,0.009838,0.02811
"('Environment - Other', 'New textures')",9,198,0.006325,0.139143,0.004919,0.145467
"('New models', 'French')",37,15,0.026001,0.010541,0.002811,0.036543
"('Czech', 'Japanese')",10,14,0.007027,0.009838,0.007027,0.016866
"('Performance Optimization', 'Polish')",3,14,0.002108,0.009838,0.000703,0.011947
"('Gameplay Effects/Changes', 'Skills')",118,29,0.082923,0.020379,0.009136,0.103303
"('New textures', 'Saved games')",198,29,0.139143,0.020379,0.000703,0.159522
"('Japanese', 'Polish')",14,14,0.009838,0.009838,0.009838,0.019677
"('Face models', 'Nudity')",127,11,0.089248,0.00773,0.000703,0.096978
"('Official', 'Polish')",10,14,0.007027,0.009838,0.007027,0.016866
"('Anime', 'Polish')",3,14,0.002108,0.009838,0.000703,0.011947
"('Humor, Joke or Just for Fun', 'Tutorials for Modders')",2,8,0.001405,0.005622,0.000703,0.007027
"('Italian', 'Other languages')",14,11,0.009838,0.00773,0.007027,0.017569
"('Body models', 'Utilities for Modders')",15,5,0.010541,0.003514,0.000703,0.014055
"('Environment - Sky', 'Environment - Water')",1,1,0.000703,0.000703,0.000703,0.001405
"('English', 'Utilities for Modders')",200,5,0.140548,0.003514,0.002811,0.144062
"('Spanish', 'Non-Playable Resource')",15,14,0.010541,0.009838,0.002108,0.020379
"('Compilation', 'Spanish')",4,15,0.002811,0.010541,0.001405,0.013352
"('Face models', 'Tutorials for Modders')",127,8,0.089248,0.005622,0.002108,0.09487
"('Skills', 'User Interface')",29,13,0.020379,0.009136,0.001405,0.029515
"('Japanese', 'Other languages')",14,11,0.009838,0.00773,0.007027,0.017569
"(""Modder's Resource"", 'Utilities for Players')",20,14,0.014055,0.009838,0.003514,0.023893
"('Gameplay Effects/Changes', 'Utilities for Players')",118,14,0.082923,0.009838,0.001405,0.092762
"('German', 'Polish')",14,14,0.009838,0.009838,0.009838,0.019677
"('New textures', 'Czech')",198,10,0.139143,0.007027,0.001405,0.14617
"('Saved games', 'Utilities for Modders')",29,5,0.020379,0.003514,0.000703,0.023893
"('New models', 'Saved games')",37,29,0.026001,0.020379,0.001405,0.046381
"('English', 'Italian')",200,14,0.140548,0.009838,0.009838,0.150387
"('Scripted Events', 'Skills')",1,29,0.000703,0.020379,0.000703,0.021082
"('Other languages', 'Polish')",11,14,0.00773,0.009838,0.007027,0.017569
"('Environment - Other', 'Environment - Water')",9,1,0.006325,0.000703,0.000703,0.007027
"('Saved games', 'Sexy/Skimpy')",29,6,0.020379,0.004216,0.000703,0.024596
"('Czech', 'Russian')",10,25,0.007027,0.017569,0.007027,0.024596
"('Gameplay Effects/Changes', 'Russian')",118,25,0.082923,0.017569,0.004216,0.100492
"('Skills', 'Utilities for Players')",29,14,0.020379,0.009838,0.000703,0.030218
"('Saved games', 'Utilities for Players')",29,14,0.020379,0.009838,0.002108,0.030218
"('New models', 'German')",37,14,0.026001,0.009838,0.002811,0.03584
"('English', 'Tutorials for Players')",200,9,0.140548,0.006325,0.004216,0.146873
"('New models', 'New textures')",37,198,0.026001,0.139143,0.017569,0.165144
"('Sexy/Skimpy', 'Tutorials for Players')",6,9,0.004216,0.006325,0.000703,0.010541
"('Gameplay Effects/Changes', 'Tutorials for Modders')",118,8,0.082923,0.005622,0.000703,0.088545
"('New models', 'Russian')",37,25,0.026001,0.017569,0.004216,0.04357
"('Japanese', 'Non-Playable Resource')",14,14,0.009838,0.009838,0.002108,0.019677
"('Saved games', ""Modder's Resource"")",29,20,0.020379,0.014055,0.001405,0.034434
"('Face models', 'German')",127,14,0.089248,0.009838,0.004216,0.099086
"('Body models', 'Utilities for Players')",15,14,0.010541,0.009838,0.000703,0.020379
"('Gameplay Effects/Changes', 'Spanish')",118,15,0.082923,0.010541,0.002811,0.093465
"('Performance Optimization', 'Spanish')",3,15,0.002108,0.010541,0.000703,0.012649
"('Russian', 'User Interface')",25,13,0.017569,0.009136,0.000703,0.026704
"('Sexy/Skimpy', ""Modder's Resource"")",6,20,0.004216,0.014055,0.000703,0.018271
"('Official', 'Other languages')",10,11,0.007027,0.00773,0.007027,0.014758
"('Gameplay Effects/Changes', 'Czech')",118,10,0.082923,0.007027,0.002108,0.089951
"('German', 'Other languages')",14,11,0.009838,0.00773,0.007027,0.017569
"(""Modder's Resource"", 'Non-Playable Resource')",20,14,0.014055,0.009838,0.000703,0.023893
"('Face models', 'French')",127,15,0.089248,0.010541,0.004216,0.099789
"('Official', 'Anime')",10,3,0.007027,0.002108,0.000703,0.009136
"('Body models', 'Tutorials for Players')",15,9,0.010541,0.006325,0.000703,0.016866
"('New textures', 'Nudity')",198,11,0.139143,0.00773,0.003514,0.146873
"('Performance Optimization', 'Russian')",3,25,0.002108,0.017569,0.000703,0.019677
"('Humor, Joke or Just for Fun', 'Sexy/Skimpy')",2,6,0.001405,0.004216,0.000703,0.005622
"('Official', 'New textures')",10,198,0.007027,0.139143,0.001405,0.14617
"('Compilation', 'Japanese')",4,14,0.002811,0.009838,0.001405,0.012649
"('Gameplay Effects/Changes', 'Performance Optimization')",118,3,0.082923,0.002108,0.002108,0.085032
"('Utilities for Modders', 'Utilities for Players')",5,14,0.003514,0.009838,0.002811,0.013352
"('Performance Optimization', 'Japanese')",3,14,0.002108,0.009838,0.000703,0.011947
"('Quests', 'Utilities for Modders')",2,5,0.001405,0.003514,0.000703,0.004919
"('German', 'Japanese')",14,14,0.009838,0.009838,0.009838,0.019677
"('English', 'Spanish')",200,15,0.140548,0.010541,0.010541,0.151089
"('Official', 'Skills')",10,29,0.007027,0.020379,0.000703,0.027407
"('English', 'Other languages')",200,11,0.140548,0.00773,0.00773,0.148278
"('Performance Optimization', 'Czech')",3,10,0.002108,0.007027,0.000703,0.009136
"('Face models', 'Saved games')",127,29,0.089248,0.020379,0.002811,0.109628
"('New textures', 'Japanese')",198,14,0.139143,0.009838,0.001405,0.148981
"('Russian', ""Modder's Resource"")",25,20,0.017569,0.014055,0.000703,0.031623
"('Body models', 'New textures')",15,198,0.010541,0.139143,0.005622,0.149684
"('Tutorials for Players', 'Utilities for Players')",9,14,0.006325,0.009838,0.001405,0.016163
"('German', 'Russian')",14,25,0.009838,0.017569,0.009838,0.027407
"('Environment - Other', 'English')",9,200,0.006325,0.140548,0.002108,0.146873
"('Compilation', 'Audio - Music')",4,2,0.002811,0.001405,0.000703,0.004216
"('New models', 'English')",37,200,0.026001,0.140548,0.011244,0.16655
"('Tutorials for Players', 'Utilities for Modders')",9,5,0.006325,0.003514,0.001405,0.009838
"('Body models', 'Humor, Joke or Just for Fun')",15,2,0.010541,0.001405,0.000703,0.011947
"('New textures', 'Sexy/Skimpy')",198,6,0.139143,0.004216,0.002811,0.143359
"('Body models', 'Face models')",15,127,0.010541,0.089248,0.002108,0.099789
"(""Modder's Resource"", 'Tutorials for Modders')",20,8,0.014055,0.005622,0.002108,0.019677
"('Compilation', 'German')",4,14,0.002811,0.009838,0.001405,0.012649
"('Gameplay Effects/Changes', 'Polish')",118,14,0.082923,0.009838,0.002811,0.092762
"('Sexy/Skimpy', 'Utilities for Players')",6,14,0.004216,0.009838,0.000703,0.014055
"('Czech', 'English')",10,200,0.007027,0.140548,0.007027,0.147576
"('Gameplay Effects/Changes', 'English')",118,200,0.082923,0.140548,0.026001,0.223472
"('French', 'Japanese')",15,14,0.010541,0.009838,0.009838,0.020379
"('Skills', 'Japanese')",29,14,0.020379,0.009838,0.000703,0.030218
"('Humor, Joke or Just for Fun', 'English')",2,200,0.001405,0.140548,0.000703,0.141954
"('Non-Playable Resource', 'Utilities for Players')",14,14,0.009838,0.009838,0.002108,0.019677
"('Performance Optimization', 'Environment - Other')",3,9,0.002108,0.006325,0.000703,0.008433
"('Czech', 'German')",10,14,0.007027,0.009838,0.007027,0.016866
"('Audio - Sound FX', 'Utilities for Modders')",1,5,0.000703,0.003514,0.000703,0.004216
"('New models', 'Italian')",37,14,0.026001,0.009838,0.002811,0.03584
"('Official', 'New models')",10,37,0.007027,0.026001,0.000703,0.033029
"('Face models', 'New textures')",127,198,0.089248,0.139143,0.011947,0.228391
"('New models', 'Sexy/Skimpy')",37,6,0.026001,0.004216,0.001405,0.030218
"('English', 'Tutorials for Modders')",200,8,0.140548,0.005622,0.004216,0.14617
"('New models', 'Polish')",37,14,0.026001,0.009838,0.002811,0.03584
