tag_tuple,tag1_count,tag2_count,ratio
"('Items - Clutter', 'Dawnguard')",46,33,1.393939393939394
"('Solstheim', 'New textures')",10,340,0.029411764705882353
"('Locations - Buildings', 'User Interface')",55,39,1.4102564102564104
"('Clothing', 'NPC Vendors')",85,33,2.5757575757575757
"('Replacer', 'Locations - Dungeons')",255,29,8.793103448275861
"('NPC Vendors', ""Modder's Resource"")",33,68,0.4852941176470588
"('Clothing - Male', 'Locations - Dungeons')",47,29,1.6206896551724137
"('Races - Modified', 'Utilities for Players')",31,63,0.49206349206349204
"('Translation', 'Locations - Player-Owned')",110,51,2.156862745098039
"('Body models', 'Locations - Dungeons')",31,29,1.0689655172413792
"('Leveled Lists', 'Plants / Foliage')",21,15,1.4
"('Environment - Sky', 'User Interface')",21,39,0.5384615384615384
"('Scripted Events', 'German')",23,57,0.40350877192982454
"('Compilation', 'For male characters')",16,180,0.08888888888888889
"('Face models', 'New models')",37,100,0.37
"('Clothing - Male', 'Items - Clutter')",47,46,1.0217391304347827
"('Face models', 'Locations - Dungeons')",37,29,1.2758620689655173
"('Companions', 'German')",85,57,1.4912280701754386
"('Czech', 'Non-Playable Resource')",8,18,0.4444444444444444
"('Cheating', 'Guilds / Factions')",50,20,2.5
"('Other languages', 'SKSE (Skyrim Script Extender)')",30,27,1.1111111111111112
"('Clothing - Female', 'Utilities for Modders')",86,26,3.3076923076923075
"('Translation', 'Dragonborn')",110,41,2.682926829268293
"('Guilds / Factions', 'Tutorials for Modders')",20,12,1.6666666666666667
"('Cheating', 'Quests')",50,25,2.0
"('Armor - Shields', 'Items - Furniture')",74,19,3.8947368421052633
"('German', 'Items - Furniture')",57,19,3.0
"('Performance Optimization', 'Utilities for Players')",33,63,0.5238095238095238
"('Scripted Events', 'Lore-Friendly')",23,322,0.07142857142857142
"('Related to Movies/TV/Other Games', 'Items - Apparatus')",64,22,2.909090909090909
"('Companions', 'Magic - Spells')",85,80,1.0625
"('Replacer', 'Locations - Caverns')",255,13,19.615384615384617
"('Races - Modified', 'Saved games')",31,98,0.3163265306122449
"('Compilation', 'Guilds / Factions')",16,20,0.8
"('Items - Clutter', 'NPCs')",46,115,0.4
"('Fair and balanced', 'Hearthfire')",292,12,24.333333333333332
"('Races - Modified', 'Armor - Shields')",31,74,0.4189189189189189
"('Faction: College of Winterhold', 'Lore-Friendly')",8,322,0.024844720496894408
"('Animation - Modified', 'Environment - Weather')",17,14,1.2142857142857142
"('Locations - Caverns', 'Magic - Spells')",13,80,0.1625
"('Humor, Joke or Just for Fun', 'Clothing')",58,85,0.6823529411764706
"('Books', 'Magic - Enchantments')",38,39,0.9743589743589743
"('For female characters', 'Hearthfire')",209,12,17.416666666666668
"('Saved games', 'English')",98,459,0.21350762527233116
"('Quests', 'Magic - Potions')",25,14,1.7857142857142858
"('Polish', 'NPCs')",23,115,0.2
"('Audio - Music', 'NPC Vendors')",26,33,0.7878787878787878
"('Companions', 'Hearthfire')",85,12,7.083333333333333
"('Guilds / Factions', 'Items - Leveled')",20,15,1.3333333333333333
"('Not Safe For Work', ""Modder's Resource"")",39,68,0.5735294117647058
"('For male characters', 'Items - Ingredients')",180,21,8.571428571428571
"('Companions', 'Humor, Joke or Just for Fun')",85,58,1.4655172413793103
"('Cheating', 'Items - Furniture')",50,19,2.6315789473684212
"('Fair and balanced', 'Races - Modified')",292,31,9.419354838709678
"('Races - Modified', 'Items - Ingredients')",31,21,1.4761904761904763
"('Clothing - Female', ""Modder's Resource"")",86,68,1.2647058823529411
"('Companions', 'Classes component')",85,4,21.25
"('Compilation', 'Fair and balanced')",16,292,0.0547945205479452
"('Companion Friendly', 'Races - Modified')",137,31,4.419354838709677
"('Scripted Events', 'Magic - Spells')",23,80,0.2875
"('Official', 'Plants / Foliage')",11,15,0.7333333333333333
"('Environment - Other', 'Hair')",62,13,4.769230769230769
"('For female characters', 'Non-Playable Resource')",209,18,11.61111111111111
"('Lore-Friendly', 'SKSE (Skyrim Script Extender)')",322,27,11.925925925925926
"('Not Lore-Friendly', 'Saved games')",76,98,0.7755102040816326
"('Performance Optimization', 'Russian')",33,28,1.1785714285714286
"('For male characters', 'Anime')",180,27,6.666666666666667
"('English', 'German')",459,57,8.052631578947368
"('Nudity', 'French')",64,41,1.5609756097560976
"('Armor - Shields', 'Books')",74,38,1.9473684210526316
"('Replacer', 'Nudity')",255,64,3.984375
"('Classes component', 'Items - Apparatus')",4,22,0.18181818181818182
"('Classes component', 'Environment - Sky')",4,21,0.19047619047619047
"('German', 'Dawnguard')",57,33,1.7272727272727273
"('French', 'Non-Playable Resource')",41,18,2.2777777777777777
"('Faction: College of Winterhold', 'Environment - Other')",8,62,0.12903225806451613
"('Translation', 'Weapons')",110,176,0.625
"('For female characters', 'Czech')",209,8,26.125
"('Birthsigns', 'Environment - Sky')",3,21,0.14285714285714285
"('Armor - Shields', 'Plants / Foliage')",74,15,4.933333333333334
"('Scripted Events', 'English')",23,459,0.05010893246187364
"('For male characters', 'Lore-Friendly')",180,322,0.5590062111801242
"('Fair and balanced', 'Tutorials for Players')",292,18,16.22222222222222
"('For male characters', 'Environment - Water')",180,10,18.0
"('Related to vampires', 'Environment - Other')",23,62,0.3709677419354839
"('New Lands', 'English')",18,459,0.0392156862745098
"('Quests', 'Clothing - Female')",25,86,0.29069767441860467
"('Companion Friendly', 'Not Safe For Work')",137,39,3.5128205128205128
"('Faction: Dark Brotherhood', 'Not Safe For Work')",5,39,0.1282051282051282
"('Animation - Modified', 'Leveled Lists')",17,21,0.8095238095238095
"('Companion Friendly', 'Russian')",137,28,4.892857142857143
"('New textures', 'Weapons')",340,176,1.9318181818181819
"('Classes component', 'Environment - Other')",4,62,0.06451612903225806
"('Nudity', 'SKSE (Skyrim Script Extender)')",64,27,2.3703703703703702
"('Books', 'Tutorials for Players')",38,18,2.111111111111111
"('Gameplay Effects/Changes', ""Modder's Resource"")",168,68,2.4705882352941178
"('Related to horses', 'Quests')",16,25,0.64
"('Leveled Lists', 'Dragonborn')",21,41,0.5121951219512195
"('Unrealistic', 'Items - Apparatus')",57,22,2.590909090909091
"('Gameplay Effects/Changes', 'Utilities for Modders')",168,26,6.461538461538462
"('Audio - Sound FX', 'New textures')",40,340,0.11764705882352941
"('Related to horses', 'Birthsigns')",16,3,5.333333333333333
"('Chargen', 'Related to vampires')",26,23,1.1304347826086956
"('Gameplay Effects/Changes', 'Clothing - Female')",168,86,1.9534883720930232
"('Spanish', 'Magic - Potions')",45,14,3.2142857142857144
"('Environment - Weather', 'New Lands')",14,18,0.7777777777777778
"('German', 'Locations - World Map')",57,34,1.6764705882352942
"('Replacer', 'Environment - Sky')",255,21,12.142857142857142
"('Related to vampires', 'Not Safe For Work')",23,39,0.5897435897435898
"('Tutorials for Modders', 'Utilities for Modders')",12,26,0.46153846153846156
"('Chargen', 'New Lands')",26,18,1.4444444444444444
"('Other languages', 'Weapons')",30,176,0.17045454545454544
"('New Lands', 'Tutorials for Modders')",18,12,1.5
"('Locations - Dungeons', 'NPCs')",29,115,0.25217391304347825
"('Replacer', 'Magic - Enchantments')",255,39,6.538461538461538
"('Birthsigns', 'Utilities for Modders')",3,26,0.11538461538461539
"('Related to horses', 'Magic - Spells')",16,80,0.2
"('Related to vampires', 'Italian')",23,29,0.7931034482758621
"('Related to vampires', 'Unrealistic')",23,57,0.40350877192982454
"('Russian', 'Magic - Spells')",28,80,0.35
"('Companion Friendly', 'Locations - Dungeons')",137,29,4.724137931034483
"('Replacer', 'Items - Apparatus')",255,22,11.590909090909092
"('Chargen', 'Related to horses')",26,16,1.625
"('Related to horses', 'Items - Apparatus')",16,22,0.7272727272727273
"('Birthsigns', 'Italian')",3,29,0.10344827586206896
"('Body models', 'Items - Apparatus')",31,22,1.4090909090909092
"('Japanese', 'Weapons')",21,176,0.11931818181818182
"('Related to horses', 'Locations - Player-Owned')",16,51,0.3137254901960784
"('Italian', 'NPC Vendors')",29,33,0.8787878787878788
"('Animation - Modified', 'Magic - Spells')",17,80,0.2125
"('For male characters', 'Not Safe For Work')",180,39,4.615384615384615
"('Lore-Friendly', 'NPCs')",322,115,2.8
"('SKSE (Skyrim Script Extender)', 'User Interface')",27,39,0.6923076923076923
"('Items - Leveled', 'Utilities for Players')",15,63,0.23809523809523808
"('Environment - Other', 'Armor - Shields')",62,74,0.8378378378378378
"('Related to horses', 'Translation')",16,110,0.14545454545454545
"('Performance Optimization', 'Clothing - Male')",33,47,0.7021276595744681
"('Related to horses', 'Locations - Dungeons')",16,29,0.5517241379310345
"('Magic - Potions', 'Weapons')",14,176,0.07954545454545454
"('Performance Optimization', 'Tutorials for Modders')",33,12,2.75
"('Related to vampires', 'New models')",23,100,0.23
"('Audio - Music', 'Guilds / Factions')",26,20,1.3
"('For female characters', 'Locations - Player-Owned')",209,51,4.098039215686274
"('Birthsigns', 'Quests')",3,25,0.12
"('Related to Movies/TV/Other Games', 'Locations - Dungeons')",64,29,2.206896551724138
"('Gameplay Effects/Changes', 'Related to Movies/TV/Other Games')",168,64,2.625
"('Fair and balanced', 'Japanese')",292,21,13.904761904761905
"('Gameplay Effects/Changes', 'Anime')",168,27,6.222222222222222
"('Animation - New', 'Lore-Friendly')",7,322,0.021739130434782608
"('Environment - Sky', 'German')",21,57,0.3684210526315789
"('Gameplay Effects/Changes', 'Classes component')",168,4,42.0
"('Body models', 'Clothing - Male')",31,47,0.6595744680851063
"('Classes component', 'Magic - Enchantments')",4,39,0.10256410256410256
"('Related to Movies/TV/Other Games', 'Lore-Friendly')",64,322,0.19875776397515527
"('Replacer', 'NPC Vendors')",255,33,7.7272727272727275
"('Creatures', 'Magic - Spells')",46,80,0.575
"('Nudity', 'Unrealistic')",64,57,1.1228070175438596
"('Lighting', 'Video')",38,11,3.4545454545454546
"('Chargen', 'Audio - Music')",26,26,1.0
"('New textures', 'Tutorials for Modders')",340,12,28.333333333333332
"('Audio - Voices', 'Not Lore-Friendly')",22,76,0.2894736842105263
"('For female characters', 'Items - Apparatus')",209,22,9.5
"('Italian', 'Magic - Potions')",29,14,2.0714285714285716
"('Audio - Sound FX', 'Other languages')",40,30,1.3333333333333333
"('Official', 'Items - Apparatus')",11,22,0.5
"('Official', 'German')",11,57,0.19298245614035087
"('Companions', 'Utilities for Players')",85,63,1.3492063492063493
"('Unbalanced', 'Polish')",32,23,1.391304347826087
"('Body models', 'English')",31,459,0.06753812636165578
"('Chargen', 'Body models')",26,31,0.8387096774193549
"('Companion Friendly', 'Hearthfire')",137,12,11.416666666666666
"('German', 'Magic - Enchantments')",57,39,1.4615384615384615
"('Humor, Joke or Just for Fun', 'User Interface')",58,39,1.4871794871794872
"('Animation - Modified', 'Locations - Dungeons')",17,29,0.5862068965517241
"('Not Safe For Work', 'Magic - Spells')",39,80,0.4875
"('Environment - Other', 'New textures')",62,340,0.18235294117647058
"('Face models', 'English')",37,459,0.08061002178649238
"('Clothing - Female', 'Dragonborn')",86,41,2.097560975609756
"('Lighting', 'Unrealistic')",38,57,0.6666666666666666
"('Companions', 'Guilds / Factions')",85,20,4.25
"('Races - New', 'Clothing - Male')",22,47,0.46808510638297873
"('New textures', 'German')",340,57,5.964912280701754
"('Environment - Sky', 'Creatures')",21,46,0.45652173913043476
"('Body models', 'Spanish')",31,45,0.6888888888888889
"('Fair and balanced', 'Humor, Joke or Just for Fun')",292,58,5.0344827586206895
"('Face models', 'Items - Ingredients')",37,21,1.7619047619047619
"('Chargen', 'Video')",26,11,2.3636363636363638
"('Locations - Dungeons', 'User Interface')",29,39,0.7435897435897436
"('Clothing - Male', 'Weapons')",47,176,0.26704545454545453
"('Fair and balanced', 'Birthsigns')",292,3,97.33333333333333
"('Fair and balanced', 'Books')",292,38,7.684210526315789
"('Environment - Other', 'Environment - Weather')",62,14,4.428571428571429
"('French', 'Japanese')",41,21,1.9523809523809523
"('Classes component', 'Plants / Foliage')",4,15,0.26666666666666666
"('Lore-Friendly', 'Items - Leveled')",322,15,21.466666666666665
"('Books', 'SKSE (Skyrim Script Extender)')",38,27,1.4074074074074074
"('Chargen', 'Environment - Water')",26,10,2.6
"('Gameplay Effects/Changes', 'Scripted Events')",168,23,7.304347826086956
"('Unrealistic', 'User Interface')",57,39,1.4615384615384615
"('Books', 'Dawnguard')",38,33,1.1515151515151516
"('Hair', 'Items - Leveled')",13,15,0.8666666666666667
"('Compilation', 'Animation - New')",16,7,2.2857142857142856
"('Guilds / Factions', 'NPCs')",20,115,0.17391304347826086
"('Clothing', 'NPC Trainers')",85,8,10.625
"('Audio - Voices', 'Lighting')",22,38,0.5789473684210527
"('Companions', 'Weapons')",85,176,0.48295454545454547
"('Replacer', 'Utilities for Players')",255,63,4.0476190476190474
"('Locations - Caverns', 'User Interface')",13,39,0.3333333333333333
"('Leveled Lists', 'English')",21,459,0.0457516339869281
"('Body models', 'Utilities for Players')",31,63,0.49206349206349204
"('NPC Trainers', 'NPC Vendors')",8,33,0.24242424242424243
"('Audio - Music', 'Tutorials for Players')",26,18,1.4444444444444444
"('Replacer', 'Clothing')",255,85,3.0
"('Performance Optimization', 'New models')",33,100,0.33
"('Companions', 'Fair and balanced')",85,292,0.2910958904109589
"('Audio - Music', 'Clothing - Male')",26,47,0.5531914893617021
"('Birthsigns', 'Guilds / Factions')",3,20,0.15
"('Body models', 'Clothing')",31,85,0.36470588235294116
"('Body models', 'Quests')",31,25,1.24
"('For male characters', 'Races - New')",180,22,8.181818181818182
"('New models', 'Items - Ingredients')",100,21,4.761904761904762
"('Spanish', 'Armor - Shields')",45,74,0.6081081081081081
"('Environment - Weather', 'English')",14,459,0.030501089324618737
"('English', 'Japanese')",459,21,21.857142857142858
"(""Modder's Resource"", 'Non-Playable Resource')",68,18,3.7777777777777777
"('Companion Friendly', ""Modder's Resource"")",137,68,2.014705882352941
"('Polish', 'Locations - Buildings')",23,55,0.41818181818181815
"('Video', 'Non-Playable Resource')",11,18,0.6111111111111112
"('Lore-Friendly', 'Sexy/Skimpy')",322,103,3.1262135922330097
"('For female characters', 'Magic - Potions')",209,14,14.928571428571429
"('Unbalanced', 'Japanese')",32,21,1.5238095238095237
"('Magic - Enchantments', 'Tutorials for Players')",39,18,2.1666666666666665
"('Nudity', 'Sexy/Skimpy')",64,103,0.6213592233009708
"('Books', 'Locations - World Map')",38,34,1.1176470588235294
"('Gameplay Effects/Changes', 'Related to vampires')",168,23,7.304347826086956
"('Locations - Dungeons', ""Modder's Resource"")",29,68,0.4264705882352941
"('Companion Friendly', 'Official')",137,11,12.454545454545455
"('Body models', 'Saved games')",31,98,0.3163265306122449
"('Performance Optimization', 'Environment - Other')",33,62,0.532258064516129
"('Locations - Caverns', 'Tutorials for Modders')",13,12,1.0833333333333333
"('Birthsigns', 'Books')",3,38,0.07894736842105263
"('Japanese', 'Items - Apparatus')",21,22,0.9545454545454546
"('Guilds / Factions', 'NPC Trainers')",20,8,2.5
"('Environment - Weather', 'Clothing')",14,85,0.16470588235294117
"('For male characters', 'Non-Playable Resource')",180,18,10.0
"('Items - Furniture', 'Utilities for Modders')",19,26,0.7307692307692307
"('Replacer', 'Weapons')",255,176,1.4488636363636365
"('Compilation', 'Items - Furniture')",16,19,0.8421052631578947
"('Clothing - Male', 'NPCs')",47,115,0.40869565217391307
"('Lore-Friendly', 'Not Lore-Friendly')",322,76,4.2368421052631575
"('Video', 'Armor - Shields')",11,74,0.14864864864864866
"('Translation', 'Items - Clutter')",110,46,2.391304347826087
"('New textures', 'Sexy/Skimpy')",340,103,3.3009708737864076
"('Environment - Weather', 'Polish')",14,23,0.6086956521739131
"('Faction: College of Winterhold', 'Locations - Caverns')",8,13,0.6153846153846154
"('Spanish', 'Creatures')",45,46,0.9782608695652174
"('Items - Furniture', 'Tutorials for Players')",19,18,1.0555555555555556
"('Scripted Events', 'Tutorials for Modders')",23,12,1.9166666666666667
"('Cheating', 'Body models')",50,31,1.6129032258064515
"('Gameplay Effects/Changes', 'Races - Modified')",168,31,5.419354838709677
"('Related to Movies/TV/Other Games', 'NPC Vendors')",64,33,1.9393939393939394
"('New models', 'Locations - Dungeons')",100,29,3.4482758620689653
"('German', 'NPCs')",57,115,0.4956521739130435
"('Locations - World Map', ""Modder's Resource"")",34,68,0.5
"('New models', 'Tutorials for Modders')",100,12,8.333333333333334
"('Leveled Lists', 'German')",21,57,0.3684210526315789
"('Face models', 'Clothing - Female')",37,86,0.43023255813953487
"('Lore-Friendly', 'Unrealistic')",322,57,5.649122807017544
"('Companion Friendly', 'French')",137,41,3.341463414634146
"('Audio - Music', 'Locations - Player-Owned')",26,51,0.5098039215686274
"('Environment - Sky', 'Humor, Joke or Just for Fun')",21,58,0.3620689655172414
"('Plants / Foliage', 'Weapons')",15,176,0.08522727272727272
"('Animation - New', 'Locations - Player-Owned')",7,51,0.13725490196078433
"('For female characters', 'NPCs')",209,115,1.817391304347826
"('Sexy/Skimpy', 'Weapons')",103,176,0.5852272727272727
"('Items - Clutter', 'Weapons')",46,176,0.26136363636363635
"('Leveled Lists', 'Polish')",21,23,0.9130434782608695
"('For male characters', 'Face models')",180,37,4.864864864864865
"('Translation', 'Items - Ingredients')",110,21,5.238095238095238
"('Armor - Shields', 'SKSE (Skyrim Script Extender)')",74,27,2.740740740740741
"('Leveled Lists', 'Clothing - Male')",21,47,0.44680851063829785
"('Scripted Events', 'NPCs')",23,115,0.2
"('Leveled Lists', 'NPC Vendors')",21,33,0.6363636363636364
"('Related to vampires', 'Tutorials for Players')",23,18,1.2777777777777777
"('Chargen', 'SKSE (Skyrim Script Extender)')",26,27,0.9629629629629629
"('Leveled Lists', 'Scripted Events')",21,23,0.9130434782608695
"('New Lands', 'Locations - Caverns')",18,13,1.3846153846153846
"('Czech', 'French')",8,41,0.1951219512195122
"('Gameplay Effects/Changes', 'Tutorials for Players')",168,18,9.333333333333334
"('Lighting', 'Spanish')",38,45,0.8444444444444444
"('Environment - Weather', 'Lore-Friendly')",14,322,0.043478260869565216
"('Cheating', 'Birthsigns')",50,3,16.666666666666668
"('Clothing', 'Locations - Buildings')",85,55,1.5454545454545454
"('Saved games', 'Russian')",98,28,3.5
"('Translation', 'Items - Apparatus')",110,22,5.0
"('Gameplay Effects/Changes', 'Armor - Shields')",168,74,2.27027027027027
"('Companion Friendly', 'Dawnguard')",137,33,4.151515151515151
"('French', 'Books')",41,38,1.0789473684210527
"('English', ""Modder's Resource"")",459,68,6.75
"('Clothing - Male', 'Locations - Buildings')",47,55,0.8545454545454545
"('Dawnguard', 'Dragonborn')",33,41,0.8048780487804879
"('Companion Friendly', 'SKSE (Skyrim Script Extender)')",137,27,5.074074074074074
"('French', 'Creatures - Rideable')",41,5,8.2
"('Not Lore-Friendly', 'NPCs')",76,115,0.6608695652173913
"('New Lands', 'Spanish')",18,45,0.4
"('Clothing', 'Utilities for Modders')",85,26,3.269230769230769
"('Faction: Thieves Guild', 'For male characters')",3,180,0.016666666666666666
"('New textures', 'Books')",340,38,8.947368421052632
"('Animation - Modified', 'Utilities for Players')",17,63,0.2698412698412698
"('Companions', 'NPC Trainers')",85,8,10.625
"('Japanese', 'Dawnguard')",21,33,0.6363636363636364
"('Items - Leveled', 'Plants / Foliage')",15,15,1.0
"('Faction: College of Winterhold', 'NPCs')",8,115,0.06956521739130435
"('Fair and balanced', 'Classes component')",292,4,73.0
"('Animation - New', 'Guilds / Factions')",7,20,0.35
"('Locations - Caverns', 'NPCs')",13,115,0.11304347826086956
"('Companion Friendly', 'Unrealistic')",137,57,2.4035087719298245
"('Companion Friendly', 'Polish')",137,23,5.956521739130435
"('German', 'Locations - Buildings')",57,55,1.0363636363636364
"('Dawnguard', 'Hearthfire')",33,12,2.75
"('Spanish', 'Dragonborn')",45,41,1.0975609756097562
"('English', 'Plants / Foliage')",459,15,30.6
"('Unbalanced', 'Other languages')",32,30,1.0666666666666667
"('Other languages', 'Books')",30,38,0.7894736842105263
"('Related to vampires', 'Dawnguard')",23,33,0.696969696969697
"('Birthsigns', 'German')",3,57,0.05263157894736842
"('Birthsigns', 'Environment - Other')",3,62,0.04838709677419355
"('Guilds / Factions', 'Books')",20,38,0.5263157894736842
"('Official', 'Cheating')",11,50,0.22
"('Replacer', 'Tutorials for Modders')",255,12,21.25
"('Quests', 'Locations - Player-Owned')",25,51,0.49019607843137253
"('Environment - Water', 'Magic - Spells')",10,80,0.125
"('Guilds / Factions', 'Humor, Joke or Just for Fun')",20,58,0.3448275862068966
"('Gameplay Effects/Changes', 'Fair and balanced')",168,292,0.5753424657534246
"('Chargen', 'Books')",26,38,0.6842105263157895
"('Fair and balanced', 'Czech')",292,8,36.5
"('Humor, Joke or Just for Fun', 'Utilities for Modders')",58,26,2.230769230769231
"('Translation', 'Locations - Buildings')",110,55,2.0
"('Audio - Voices', 'Translation')",22,110,0.2
"('Clothing - Male', 'Dragonborn')",47,41,1.146341463414634
"('Translation', 'Dawnguard')",110,33,3.3333333333333335
"('Races - Modified', 'Not Lore-Friendly')",31,76,0.40789473684210525
"('Gameplay Effects/Changes', 'Translation')",168,110,1.5272727272727273
"('Related to Movies/TV/Other Games', 'Clothing - Male')",64,47,1.3617021276595744
"('Animation - New', 'Weapons')",7,176,0.03977272727272727
"('Environment - Other', 'Clothing')",62,85,0.7294117647058823
"('Locations - World Map', 'Tutorials for Modders')",34,12,2.8333333333333335
"('Companions', 'New Lands')",85,18,4.722222222222222
"('Replacer', 'Not Safe For Work')",255,39,6.538461538461538
"('Companions', 'Replacer')",85,255,0.3333333333333333
"('New textures', 'Locations - Buildings')",340,55,6.181818181818182
"('Spanish', 'Items - Apparatus')",45,22,2.0454545454545454
"('Audio - Music', 'New Lands')",26,18,1.4444444444444444
"('Replacer', 'German')",255,57,4.473684210526316
"('Audio - Music', 'Plants / Foliage')",26,15,1.7333333333333334
"('English', 'User Interface')",459,39,11.76923076923077
"('For male characters', 'Replacer')",180,255,0.7058823529411765
"('Not Lore-Friendly', 'English')",76,459,0.1655773420479303
"('Related to vampires', 'Russian')",23,28,0.8214285714285714
"('Related to horses', 'Guilds / Factions')",16,20,0.8
"('Sexy/Skimpy', 'Tutorials for Modders')",103,12,8.583333333333334
"('Related to vampires', 'Magic - Enchantments')",23,39,0.5897435897435898
"('Environment - Sky', 'Clothing - Male')",21,47,0.44680851063829785
"('Replacer', 'Not Lore-Friendly')",255,76,3.3552631578947367
"('Saved games', 'Translation')",98,110,0.8909090909090909
"('Items - Clutter', 'Items - Ingredients')",46,21,2.1904761904761907
"('Quests', 'Video')",25,11,2.272727272727273
"('Classes component', 'Creatures - Rideable')",4,5,0.8
"('Not Lore-Friendly', 'Spanish')",76,45,1.6888888888888889
"('For male characters', 'Utilities for Modders')",180,26,6.923076923076923
"('Face models', 'NPC Trainers')",37,8,4.625
"('Animation - Modified', 'Items - Clutter')",17,46,0.3695652173913043
"('Compilation', 'Related to vampires')",16,23,0.6956521739130435
"('Audio - Sound FX', 'Locations - Buildings')",40,55,0.7272727272727273
"('Classes component', 'New models')",4,100,0.04
"('For female characters', 'Dragonborn')",209,41,5.097560975609756
"('Video', 'Magic - Spells')",11,80,0.1375
"('French', 'Weapons')",41,176,0.23295454545454544
"('Solstheim', 'English')",10,459,0.02178649237472767
"('Companions', 'For male characters')",85,180,0.4722222222222222
"('Clothing', 'Locations - Player-Owned')",85,51,1.6666666666666667
"('Chargen', 'Birthsigns')",26,3,8.666666666666666
"('Classes component', 'Quests')",4,25,0.16
"('Anime', 'Not Lore-Friendly')",27,76,0.35526315789473684
"('Leveled Lists', 'New textures')",21,340,0.061764705882352944
"('Nudity', 'Armor - Shields')",64,74,0.8648648648648649
