Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Japanese', 'Magic - Enchantments')",21,39,3,0.00266,0.00494,0.00038,0.0076
"('Not Lore-Friendly', 'Clothing')",76,85,11,0.009626,0.010766,0.001393,0.020393
"('Clothing - Female', 'Utilities for Players')",86,63,2,0.010893,0.00798,0.000253,0.018873
"('Locations - Caverns', 'NPC Vendors')",13,33,2,0.001647,0.00418,0.000253,0.005826
"('Translation', 'German')",110,57,23,0.013933,0.00722,0.002913,0.021153
"('Faction: Companions', 'Creatures')",4,46,1,0.000507,0.005826,0.000127,0.006333
"('Guilds / Factions', 'Scripted Events')",20,23,2,0.002533,0.002913,0.000253,0.005446
"('Clothing', 'Utilities for Modders')",85,26,2,0.010766,0.003293,0.000253,0.01406
"('Solstheim', 'Hearthfire')",10,12,1,0.001267,0.00152,0.000127,0.002787
"('Performance Optimization', 'Environment - Other')",33,62,4,0.00418,0.007853,0.000507,0.012033
"('Environment - Sky', 'Items - Furniture')",21,19,1,0.00266,0.002407,0.000127,0.005066
"('English', 'Clothing - Male')",459,47,27,0.058138,0.005953,0.00342,0.064091
"('Items - Apparatus', 'Non-Playable Resource')",22,18,1,0.002787,0.00228,0.000127,0.005066
"('Classes component', 'Guilds / Factions')",4,20,1,0.000507,0.002533,0.000127,0.00304
"('Creatures - Rideable', 'Magic - Spells')",5,80,2,0.000633,0.010133,0.000253,0.010766
"('Audio - Voices', 'Italian')",22,29,1,0.002787,0.003673,0.000127,0.00646
"('Related to horses', 'German')",16,57,3,0.002027,0.00722,0.00038,0.009246
"('Scripted Events', 'Magic - Enchantments')",23,39,5,0.002913,0.00494,0.000633,0.007853
"('Audio - Music', 'Translation')",26,110,1,0.003293,0.013933,0.000127,0.017226
"('Leveled Lists', 'Items - Apparatus')",21,22,1,0.00266,0.002787,0.000127,0.005446
"('Lore-Friendly', 'Locations - Player-Owned')",322,51,28,0.040785,0.00646,0.003547,0.047245
"('For female characters', 'For male characters')",209,180,116,0.026472,0.022799,0.014693,0.049272
"('Armor - Shields', 'Weapons')",74,176,30,0.009373,0.022293,0.0038,0.031666
"('Audio - Sound FX', 'Books')",40,38,3,0.005066,0.004813,0.00038,0.00988
"('Birthsigns', 'Creatures')",3,46,1,0.00038,0.005826,0.000127,0.006206
"('Other languages', 'Magic - Enchantments')",30,39,5,0.0038,0.00494,0.000633,0.00874
"('Gameplay Effects/Changes', 'Environment - Sky')",168,21,6,0.021279,0.00266,0.00076,0.023939
"('Official', 'Plants / Foliage')",11,15,1,0.001393,0.0019,0.000127,0.003293
"('Body models', 'Utilities for Players')",31,63,1,0.003927,0.00798,0.000127,0.011906
"('Italian', 'Spanish')",29,45,16,0.003673,0.0057,0.002027,0.009373
"('Fair and balanced', 'Dawnguard')",292,33,13,0.036985,0.00418,0.001647,0.041165
"('Unbalanced', 'English')",32,459,14,0.004053,0.058138,0.001773,0.062191
"('Races - Modified', 'Clothing - Male')",31,47,2,0.003927,0.005953,0.000253,0.00988
"('New models', 'Books')",100,38,3,0.012666,0.004813,0.00038,0.017479
"('Gameplay Effects/Changes', 'Russian')",168,28,8,0.021279,0.003547,0.001013,0.024826
"('Lore-Friendly', 'Other languages')",322,30,10,0.040785,0.0038,0.001267,0.044585
"('New Lands', 'Creatures')",18,46,2,0.00228,0.005826,0.000253,0.008106
"('For female characters', 'Dragonborn')",209,41,3,0.026472,0.005193,0.00038,0.031666
"('For male characters', 'Plants / Foliage')",180,15,1,0.022799,0.0019,0.000127,0.024699
"('Gameplay Effects/Changes', 'Plants / Foliage')",168,15,4,0.021279,0.0019,0.000507,0.023179
"('Hair', 'Races - Modified')",13,31,4,0.001647,0.003927,0.000507,0.005573
"('French', 'Italian')",41,29,17,0.005193,0.003673,0.002153,0.008866
"('Magic - Spells', 'Utilities for Modders')",80,26,1,0.010133,0.003293,0.000127,0.013426
"('Fair and balanced', 'Tutorials for Players')",292,18,4,0.036985,0.00228,0.000507,0.039265
"('Chargen', 'Animation - New')",26,7,1,0.003293,0.000887,0.000127,0.00418
"('For male characters', 'Humor, Joke or Just for Fun')",180,58,7,0.022799,0.007346,0.000887,0.030146
"('Face models', 'Armor - Shields')",37,74,1,0.004687,0.009373,0.000127,0.01406
"('German', 'Items - Clutter')",57,46,5,0.00722,0.005826,0.000633,0.013046
"('Items - Clutter', 'Magic - Enchantments')",46,39,4,0.005826,0.00494,0.000507,0.010766
"('New textures', 'Quests')",340,25,7,0.043065,0.003167,0.000887,0.046232
"('Creatures - Rideable', 'NPC Vendors')",5,33,1,0.000633,0.00418,0.000127,0.004813
"('Companions', 'Magic - Potions')",85,14,2,0.010766,0.001773,0.000253,0.01254
"('Italian', 'Dawnguard')",29,33,1,0.003673,0.00418,0.000127,0.007853
"('Italian', 'Japanese')",29,21,14,0.003673,0.00266,0.001773,0.006333
"('For female characters', 'Locations - Buildings')",209,55,3,0.026472,0.006966,0.00038,0.033439
"('Leveled Lists', 'Clothing')",21,85,2,0.00266,0.010766,0.000253,0.013426
"('Related to vampires', 'Locations - Buildings')",23,55,2,0.002913,0.006966,0.000253,0.00988
"('For male characters', 'Locations - Player-Owned')",180,51,2,0.022799,0.00646,0.000253,0.029259
"('Cheating', 'Magic - Spells')",50,80,9,0.006333,0.010133,0.00114,0.016466
"('Animation - Modified', 'Items - Ingredients')",17,21,1,0.002153,0.00266,0.000127,0.004813
"('Creatures - Rideable', 'Items - Leveled')",5,15,1,0.000633,0.0019,0.000127,0.002533
"('Anime', 'NPCs')",27,115,1,0.00342,0.014566,0.000127,0.017986
"('Audio - Sound FX', 'Magic - Enchantments')",40,39,2,0.005066,0.00494,0.000253,0.010006
"('Clothing', 'Creatures')",85,46,1,0.010766,0.005826,0.000127,0.016593
"('Gameplay Effects/Changes', 'Birthsigns')",168,3,2,0.021279,0.00038,0.000253,0.021659
"('Birthsigns', 'Environment - Sky')",3,21,1,0.00038,0.00266,0.000127,0.00304
"('Clothing - Female', 'Weapons')",86,176,7,0.010893,0.022293,0.000887,0.033186
"('Humor, Joke or Just for Fun', 'Items - Clutter')",58,46,3,0.007346,0.005826,0.00038,0.013173
"('Audio - Voices', 'Not Safe For Work')",22,39,1,0.002787,0.00494,0.000127,0.007726
"('Companions', 'Animation - Modified')",85,17,2,0.010766,0.002153,0.000253,0.01292
"('Replacer', 'Environment - Sky')",255,21,6,0.032299,0.00266,0.00076,0.034959
"('Unbalanced', 'Weapons')",32,176,5,0.004053,0.022293,0.000633,0.026346
"('Face models', 'Items - Ingredients')",37,21,1,0.004687,0.00266,0.000127,0.007346
"('Locations - Dungeons', 'Magic - Potions')",29,14,2,0.003673,0.001773,0.000253,0.005446
"('For male characters', 'Saved games')",180,98,4,0.022799,0.012413,0.000507,0.035212
"('New textures', 'SKSE (Skyrim Script Extender)')",340,27,4,0.043065,0.00342,0.000507,0.046485
"('Leveled Lists', 'Items - Clutter')",21,46,3,0.00266,0.005826,0.00038,0.008486
"('Locations - Dungeons', 'SKSE (Skyrim Script Extender)')",29,27,2,0.003673,0.00342,0.000253,0.007093
"('Hair', 'Sexy/Skimpy')",13,103,3,0.001647,0.013046,0.00038,0.014693
"('Chargen', 'Replacer')",26,255,11,0.003293,0.032299,0.001393,0.035592
"('Environment - Sky', 'Tutorials for Modders')",21,12,1,0.00266,0.00152,0.000127,0.00418
"('Unbalanced', 'Humor, Joke or Just for Fun')",32,58,5,0.004053,0.007346,0.000633,0.0114
"('Companions', 'Spanish')",85,45,4,0.010766,0.0057,0.000507,0.016466
"('New models', 'Utilities for Modders')",100,26,2,0.012666,0.003293,0.000253,0.015959
"('English', 'Russian')",459,28,24,0.058138,0.003547,0.00304,0.061685
"('Performance Optimization', 'Anime')",33,27,1,0.00418,0.00342,0.000127,0.0076
"('Audio - Sound FX', 'Body models')",40,31,2,0.005066,0.003927,0.000253,0.008993
"('Replacer', 'Clothing')",255,85,25,0.032299,0.010766,0.003167,0.043065
"('Armor - Shields', 'Items - Furniture')",74,19,1,0.009373,0.002407,0.000127,0.01178
"('Chargen', 'Compilation')",26,16,1,0.003293,0.002027,0.000127,0.00532
"('Environment - Other', 'SKSE (Skyrim Script Extender)')",62,27,2,0.007853,0.00342,0.000253,0.011273
"('Chargen', 'Locations - Player-Owned')",26,51,1,0.003293,0.00646,0.000127,0.009753
"('Audio - Voices', 'Not Lore-Friendly')",22,76,1,0.002787,0.009626,0.000127,0.012413
"('Nudity', 'Creatures')",64,46,1,0.008106,0.005826,0.000127,0.013933
"('Hair', 'New textures')",13,340,4,0.001647,0.043065,0.000507,0.044712
"('Animation - New', 'Creatures')",7,46,1,0.000887,0.005826,0.000127,0.006713
"('Saved games', 'Weapons')",98,176,1,0.012413,0.022293,0.000127,0.034706
"('Japanese', 'SKSE (Skyrim Script Extender)')",21,27,1,0.00266,0.00342,0.000127,0.00608
"('Italian', 'Clothing - Male')",29,47,1,0.003673,0.005953,0.000127,0.009626
"('Books', 'Locations - Dungeons')",38,29,6,0.004813,0.003673,0.00076,0.008486
"('Performance Optimization', 'Plants / Foliage')",33,15,1,0.00418,0.0019,0.000127,0.00608
"('Nudity', ""Modder's Resource"")",64,68,5,0.008106,0.008613,0.000633,0.016719
"('Polish', 'Clothing - Male')",23,47,1,0.002913,0.005953,0.000127,0.008866
"('Replacer', 'Audio - Voices')",255,22,5,0.032299,0.002787,0.000633,0.035085
"('Birthsigns', 'Magic - Enchantments')",3,39,1,0.00038,0.00494,0.000127,0.00532
"('New models', 'Races - Modified')",100,31,8,0.012666,0.003927,0.001013,0.016593
"('Hair', 'NPCs')",13,115,3,0.001647,0.014566,0.00038,0.016213
"('Spanish', 'Dawnguard')",45,33,2,0.0057,0.00418,0.000253,0.00988
"('Other languages', 'SKSE (Skyrim Script Extender)')",30,27,1,0.0038,0.00342,0.000127,0.00722
"('Humor, Joke or Just for Fun', 'French')",58,41,1,0.007346,0.005193,0.000127,0.01254
"('Italian', 'Creatures')",29,46,2,0.003673,0.005826,0.000253,0.0095
"('Lore-Friendly', 'Items - Ingredients')",322,21,10,0.040785,0.00266,0.001267,0.043445
"('German', 'Hearthfire')",57,12,2,0.00722,0.00152,0.000253,0.00874
"('Races - New', 'Items - Leveled')",22,15,1,0.002787,0.0019,0.000127,0.004687
"('User Interface', 'Utilities for Players')",39,63,10,0.00494,0.00798,0.001267,0.01292
"('Performance Optimization', 'French')",33,41,3,0.00418,0.005193,0.00038,0.009373
"('Body models', 'German')",31,57,1,0.003927,0.00722,0.000127,0.011146
"('German', 'Tutorials for Players')",57,18,2,0.00722,0.00228,0.000253,0.0095
"('Related to horses', 'Environment - Other')",16,62,2,0.002027,0.007853,0.000253,0.00988
"('For female characters', 'Not Lore-Friendly')",209,76,22,0.026472,0.009626,0.002787,0.036099
"('Guilds / Factions', 'Books')",20,38,5,0.002533,0.004813,0.000633,0.007346
"('Environment - Weather', 'Lighting')",14,38,4,0.001773,0.004813,0.000507,0.006586
"('Audio - Voices', 'Weapons')",22,176,5,0.002787,0.022293,0.000633,0.025079
"('Cheating', 'Locations - Buildings')",50,55,1,0.006333,0.006966,0.000127,0.0133
"('Guilds / Factions', 'Locations - Player-Owned')",20,51,2,0.002533,0.00646,0.000253,0.008993
"('Humor, Joke or Just for Fun', 'Items - Furniture')",58,19,2,0.007346,0.002407,0.000253,0.009753
"('Quests', 'User Interface')",25,39,1,0.003167,0.00494,0.000127,0.008106
"('Audio - Music', 'Leveled Lists')",26,21,2,0.003293,0.00266,0.000253,0.005953
"('Russian', 'Weapons')",28,176,6,0.003547,0.022293,0.00076,0.025839
"('Creatures', 'Items - Leveled')",46,15,1,0.005826,0.0019,0.000127,0.007726
"('Chargen', 'New Lands')",26,18,1,0.003293,0.00228,0.000127,0.005573
"('Related to Movies/TV/Other Games', 'Items - Leveled')",64,15,1,0.008106,0.0019,0.000127,0.010006
"('New textures', 'Dawnguard')",340,33,5,0.043065,0.00418,0.000633,0.047245
"('New models', 'Locations - Dungeons')",100,29,6,0.012666,0.003673,0.00076,0.016339
"('Translation', 'Russian')",110,28,4,0.013933,0.003547,0.000507,0.017479
"('Lore-Friendly', 'Clothing - Male')",322,47,22,0.040785,0.005953,0.002787,0.046738
"('Compilation', 'NPCs')",16,115,5,0.002027,0.014566,0.000633,0.016593
"('Saved games', 'Items - Ingredients')",98,21,1,0.012413,0.00266,0.000127,0.015073
"('Related to Movies/TV/Other Games', 'Items - Furniture')",64,19,2,0.008106,0.002407,0.000253,0.010513
"('Companion Friendly', 'New models')",137,100,24,0.017353,0.012666,0.00304,0.030019
"('Faction: College of Winterhold', 'Hair')",8,13,1,0.001013,0.001647,0.000127,0.00266
"('Gameplay Effects/Changes', 'Creatures - Rideable')",168,5,2,0.021279,0.000633,0.000253,0.021913
"('Cheating', 'Body models')",50,31,1,0.006333,0.003927,0.000127,0.01026
"('Related to vampires', 'Video')",23,11,1,0.002913,0.001393,0.000127,0.004307
"('Fair and balanced', 'Spanish')",292,45,12,0.036985,0.0057,0.00152,0.042685
"('Audio - Sound FX', 'Utilities for Modders')",40,26,1,0.005066,0.003293,0.000127,0.00836
"('Gameplay Effects/Changes', ""Modder's Resource"")",168,68,8,0.021279,0.008613,0.001013,0.029892
"('Video', 'Armor - Shields')",11,74,1,0.001393,0.009373,0.000127,0.010766
"('Humor, Joke or Just for Fun', 'Tutorials for Modders')",58,12,1,0.007346,0.00152,0.000127,0.008866
"('Environment - Weather', 'Unrealistic')",14,57,1,0.001773,0.00722,0.000127,0.008993
"('Environment - Sky', 'User Interface')",21,39,1,0.00266,0.00494,0.000127,0.0076
"('Not Lore-Friendly', 'Japanese')",76,21,2,0.009626,0.00266,0.000253,0.012286
"('Items - Clutter', 'Dawnguard')",46,33,2,0.005826,0.00418,0.000253,0.010006
"('Russian', 'NPC Vendors')",28,33,4,0.003547,0.00418,0.000507,0.007726
"('Unrealistic', 'Clothing - Female')",57,86,14,0.00722,0.010893,0.001773,0.018113
"('Lighting', 'Scripted Events')",38,23,2,0.004813,0.002913,0.000253,0.007726
"('Items - Clutter', 'Utilities for Modders')",46,26,1,0.005826,0.003293,0.000127,0.00912
"('Replacer', 'Locations - Dungeons')",255,29,2,0.032299,0.003673,0.000253,0.035972
"('Not Safe For Work', 'Polish')",39,23,1,0.00494,0.002913,0.000127,0.007853
"('Tutorials for Modders', 'User Interface')",12,39,1,0.00152,0.00494,0.000127,0.00646
"('Performance Optimization', 'Magic - Enchantments')",33,39,3,0.00418,0.00494,0.00038,0.00912
"('NPCs', 'Utilities for Players')",115,63,2,0.014566,0.00798,0.000253,0.022546
"('Races - Modified', 'Polish')",31,23,1,0.003927,0.002913,0.000127,0.00684
"('Companion Friendly', 'Nudity')",137,64,4,0.017353,0.008106,0.000507,0.025459
"('Locations - Player-Owned', 'Magic - Enchantments')",51,39,2,0.00646,0.00494,0.000253,0.0114
"('Audio - Voices', 'Spanish')",22,45,1,0.002787,0.0057,0.000127,0.008486
"('Lighting', 'Magic - Enchantments')",38,39,3,0.004813,0.00494,0.00038,0.009753
"('Environment - Sky', 'Humor, Joke or Just for Fun')",21,58,2,0.00266,0.007346,0.000253,0.010006
"('Leveled Lists', 'Creatures')",21,46,4,0.00266,0.005826,0.000507,0.008486
"('Related to MLP', 'Related to Movies/TV/Other Games')",1,64,1,0.000127,0.008106,0.000127,0.008233
"('Quests', 'Locations - Player-Owned')",25,51,2,0.003167,0.00646,0.000253,0.009626
"('Magic - Spells', 'User Interface')",80,39,1,0.010133,0.00494,0.000127,0.015073
"('Environment - Sky', 'New textures')",21,340,9,0.00266,0.043065,0.00114,0.045725
"('Hair', 'New Lands')",13,18,1,0.001647,0.00228,0.000127,0.003927
"('Plants / Foliage', 'Utilities for Modders')",15,26,1,0.0019,0.003293,0.000127,0.005193
"('Scripted Events', 'Dawnguard')",23,33,1,0.002913,0.00418,0.000127,0.007093
"('Classes component', 'Clothing')",4,85,1,0.000507,0.010766,0.000127,0.011273
"('Magic - Potions', 'NPC Vendors')",14,33,5,0.001773,0.00418,0.000633,0.005953
"('Audio - Music', 'Lighting')",26,38,2,0.003293,0.004813,0.000253,0.008106
"('Guilds / Factions', 'Locations - World Map')",20,34,6,0.002533,0.004307,0.00076,0.00684
"('Lore-Friendly', 'German')",322,57,28,0.040785,0.00722,0.003547,0.048005
"('Lore-Friendly', 'Magic - Potions')",322,14,6,0.040785,0.001773,0.00076,0.042559
"('Audio - Voices', 'Czech')",22,8,1,0.002787,0.001013,0.000127,0.0038
"('Other languages', 'Books')",30,38,2,0.0038,0.004813,0.000253,0.008613
"('French', 'NPCs')",41,115,7,0.005193,0.014566,0.000887,0.019759
"('For male characters', 'Other languages')",180,30,2,0.022799,0.0038,0.000253,0.026599
"('Guilds / Factions', 'Leveled Lists')",20,21,2,0.002533,0.00266,0.000253,0.005193
"('Gameplay Effects/Changes', 'Italian')",168,29,7,0.021279,0.003673,0.000887,0.024953
"('Translation', 'English')",110,459,1,0.013933,0.058138,0.000127,0.072071
"('Lore-Friendly', 'Italian')",322,29,14,0.040785,0.003673,0.001773,0.044459
"('Poses', 'Nudity')",5,64,1,0.000633,0.008106,0.000127,0.00874
"('Lore-Friendly', 'Clothing')",322,85,27,0.040785,0.010766,0.00342,0.051552
"('Items - Ingredients', 'Dawnguard')",21,33,1,0.00266,0.00418,0.000127,0.00684
"('Unrealistic', ""Modder's Resource"")",57,68,7,0.00722,0.008613,0.000887,0.015833
"('New models', 'French')",100,41,4,0.012666,0.005193,0.000507,0.017859
"('Tutorials for Players', 'Utilities for Modders')",18,26,5,0.00228,0.003293,0.000633,0.005573
"('Audio - Music', 'Items - Apparatus')",26,22,2,0.003293,0.002787,0.000253,0.00608
"('Locations - World Map', 'NPC Vendors')",34,33,7,0.004307,0.00418,0.000887,0.008486
"('Not Lore-Friendly', 'Clothing - Male')",76,47,2,0.009626,0.005953,0.000253,0.015579
"('NPC Vendors', 'Tutorials for Modders')",33,12,1,0.00418,0.00152,0.000127,0.0057
"('Environment - Weather', 'Clothing - Male')",14,47,1,0.001773,0.005953,0.000127,0.007726
"('Companions', 'Armor - Shields')",85,74,5,0.010766,0.009373,0.000633,0.020139
"('Official', 'Magic - Spells')",11,80,2,0.001393,0.010133,0.000253,0.011526
"('Compilation', 'Animation - Modified')",16,17,2,0.002027,0.002153,0.000253,0.00418
"('For male characters', 'Books')",180,38,4,0.022799,0.004813,0.000507,0.027612
"('Replacer', 'Fair and balanced')",255,292,34,0.032299,0.036985,0.004307,0.069284
"('English', 'Armor - Shields')",459,74,26,0.058138,0.009373,0.003293,0.067511
"('Cheating', 'Quests')",50,25,1,0.006333,0.003167,0.000127,0.0095
"('Races - Modified', 'English')",31,459,17,0.003927,0.058138,0.002153,0.062065
"('Lore-Friendly', 'Spanish')",322,45,12,0.040785,0.0057,0.00152,0.046485
"('Replacer', 'Environment - Weather')",255,14,5,0.032299,0.001773,0.000633,0.034072
"('Audio - Voices', 'Dragonborn')",22,41,1,0.002787,0.005193,0.000127,0.00798
"('Official', 'Cheating')",11,50,2,0.001393,0.006333,0.000253,0.007726
"('Audio - Music', 'Anime')",26,27,1,0.003293,0.00342,0.000127,0.006713
"('New textures', 'Books')",340,38,10,0.043065,0.004813,0.001267,0.047878
