Tag_Tuple,Tag1_Count,Tag2_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Races - Modified', 'Russian')",17,32,0.002327,0.00438,0.000137,0.006707
"('Companion - New - Female', 'Armor - Shields')",34,79,0.004654,0.010813,0.000411,0.015467
"('Companion - Zevran', 'Magic - Potions')",82,9,0.011224,0.001232,0.000137,0.012456
"('Companion - New - Male', 'Singleplayer Campaign')",35,183,0.004791,0.025048,0.001779,0.029838
"('For female characters', 'Related to Movies/TV/Other Games')",271,59,0.037093,0.008076,0.001642,0.045168
"('Classes component', 'Lighting')",31,4,0.004243,0.000547,0.000137,0.004791
"('Companion - Shale', 'Items - Apparatus')",10,15,0.001369,0.002053,0.000137,0.003422
"('For male characters', 'NPCs')",234,150,0.032028,0.020531,0.002737,0.05256
"('Items - Apparatus', 'Locations - Dungeons')",15,13,0.002053,0.001779,0.000274,0.003832
"('Companion - Wynne', 'Locations - World Map')",46,18,0.006296,0.002464,0.000137,0.00876
"('Singleplayer Campaign', 'Lore-Friendly')",183,295,0.025048,0.040378,0.011497,0.065426
"('Companion - Dog', 'Items - Furniture')",21,14,0.002874,0.001916,0.000137,0.004791
"('Companion - Oghren', 'Clothing - Male')",32,25,0.00438,0.003422,0.000274,0.007802
"('Hair', ""Modder's Resource"")",83,84,0.011361,0.011497,0.000411,0.022858
"('Cheating', 'Magic - Enchantments')",106,19,0.014509,0.002601,0.000547,0.017109
"('Companion - Sten', 'Body models')",44,30,0.006022,0.004106,0.000547,0.010129
"('Companion - Oghren', 'Clothing')",32,109,0.00438,0.014919,0.000411,0.019299
"('Audio - Sound FX', 'NPCs')",23,150,0.003148,0.020531,0.000821,0.023679
"('Companion - Sigrun', 'Companion - Loghain')",11,21,0.001506,0.002874,0.000274,0.00438
"('Companion - Shale', 'New Lands')",10,22,0.001369,0.003011,0.000137,0.00438
"('Animation - Modified', 'Video')",37,44,0.005064,0.006022,0.001506,0.011087
"('Czech', 'NPCs')",5,150,0.000684,0.020531,0.000137,0.021215
"('Audio - Music', 'English')",11,509,0.001506,0.069669,0.000821,0.071174
"('Related to Movies/TV/Other Games', 'NPCs')",59,150,0.008076,0.020531,0.001642,0.028607
"('Singleplayer Campaign', 'French')",183,21,0.025048,0.002874,0.000547,0.027922
"('Face models', 'Quests')",417,59,0.057076,0.008076,0.000684,0.065152
"('Replacer', 'Companion - Leliana')",401,117,0.054886,0.016014,0.006981,0.070901
"('Fair and balanced', 'Companion - Wynne')",44,46,0.006022,0.006296,0.000684,0.012319
"('Tutorials for Players', 'Utilities for Modders')",12,36,0.001642,0.004927,0.000137,0.00657
"('Face models', 'Singleplayer Campaign')",417,183,0.057076,0.025048,0.004243,0.082124
"('English', 'Items - Ingredients')",509,7,0.069669,0.000958,0.000684,0.070627
"('Companion - Alistair', 'Sexy/Skimpy')",102,11,0.013961,0.001506,0.000411,0.015467
"('Companion - Leliana', 'German')",117,44,0.016014,0.006022,0.000547,0.022037
"('Locations - Buildings', 'NPC Vendors')",27,43,0.003696,0.005886,0.001232,0.009581
"('NPCs', 'Non-Playable Resource')",150,21,0.020531,0.002874,0.000547,0.023405
"('French', 'Clothing')",21,109,0.002874,0.014919,0.000137,0.017794
"('Races - Modified', 'NPCs')",17,150,0.002327,0.020531,0.001232,0.022858
"('Companion - Alistair', 'Locations - Caverns')",102,6,0.013961,0.000821,0.000137,0.014782
"('Companion - Nathaniel', 'Lore-Friendly')",11,295,0.001506,0.040378,0.000684,0.041883
"('Companion - Oghren', 'Polish')",32,26,0.00438,0.003559,0.000274,0.007939
"('Quests', ""Modder's Resource"")",59,84,0.008076,0.011497,0.000274,0.019573
"('Companion - Loghain', 'Skills')",21,54,0.002874,0.007391,0.000137,0.010266
"('For female characters', 'Companion - Leliana')",271,117,0.037093,0.016014,0.003011,0.053107
"('Items - Clutter', 'Items - Ingredients')",20,7,0.002737,0.000958,0.000274,0.003696
"('Italian', 'NPCs')",21,150,0.002874,0.020531,0.000137,0.023405
"('Companion - Oghren', 'Locations - World Map')",32,18,0.00438,0.002464,0.000137,0.006844
"('Companion - Loghain', 'NPCs')",21,150,0.002874,0.020531,0.001369,0.023405
"('Companion - Nathaniel', 'Not Lore-Friendly')",11,24,0.001506,0.003285,0.000137,0.004791
"('Companion - New - Female', 'Items - Ingredients')",34,7,0.004654,0.000958,0.000137,0.005612
"('Singleplayer Campaign', 'Locations - Caverns')",183,6,0.025048,0.000821,0.000547,0.025869
"('Companion Friendly', 'Tutorials for Players')",61,12,0.008349,0.001642,0.000137,0.009992
"('Compilation', 'Face models')",6,417,0.000821,0.057076,0.000411,0.057898
"('Companion - New - Female', 'Tutorials for Players')",34,12,0.004654,0.001642,0.000137,0.006296
"('Companion - Alistair', 'Spanish')",102,26,0.013961,0.003559,0.000274,0.01752
"('Companion - Wynne', 'Clothing')",46,109,0.006296,0.014919,0.000684,0.021215
"('Companion - Leliana', 'Czech')",117,5,0.016014,0.000684,0.000137,0.016699
"('Body models', 'Locations - Buildings')",30,27,0.004106,0.003696,0.000137,0.007802
"('Companion Friendly', 'Fair and balanced')",61,44,0.008349,0.006022,0.002327,0.014372
"('Armor - Shields', 'Locations - Buildings')",79,27,0.010813,0.003696,0.000274,0.014509
"('Skills', 'Humor, Joke or Just for Fun')",54,16,0.007391,0.00219,0.000137,0.009581
"('Companion - Zevran', 'Books')",82,16,0.011224,0.00219,0.000274,0.013414
"('Related to Movies/TV/Other Games', 'Quests')",59,59,0.008076,0.008076,0.000137,0.016151
"('Gameplay Effects/Changes', 'Face models')",257,417,0.035177,0.057076,0.00219,0.092253
"('Companion - Alistair', 'Scripted Events')",102,76,0.013961,0.010402,0.001506,0.024364
"('Companion - Morrigan', 'Utilities for Modders')",102,36,0.013961,0.004927,0.000274,0.018889
"('Gameplay Effects/Changes', 'Singleplayer Campaign')",257,183,0.035177,0.025048,0.007665,0.060224
"('Other languages', 'Plants / Foliage')",5,3,0.000684,0.000411,0.000137,0.001095
"('Books', 'User Interface')",16,38,0.00219,0.005201,0.000137,0.007391
"('Humor, Joke or Just for Fun', 'Creatures')",16,41,0.00219,0.005612,0.000137,0.007802
"('Companion - Oghren', 'New models')",32,123,0.00438,0.016835,0.000821,0.021215
"('Face models', 'Races - New')",417,6,0.057076,0.000821,0.000684,0.057898
"('For DAA', 'English')",49,509,0.006707,0.069669,0.003559,0.076376
"('Face models', 'Locations - Caverns')",417,6,0.057076,0.000821,0.000274,0.057898
"('For DAO', 'Gameplay Effects/Changes')",213,257,0.029154,0.035177,0.003011,0.064331
"('Scripted Events', 'Magic - Potions')",76,9,0.010402,0.001232,0.000274,0.011634
"('Environment - Other', 'Utilities for Players')",18,77,0.002464,0.010539,0.000137,0.013003
"('Cheating', 'Armor - Shields')",106,79,0.014509,0.010813,0.000821,0.025322
"('Companions', 'English')",259,509,0.03545,0.069669,0.013003,0.105119
"('Companion Friendly', 'Companion - Sten')",61,44,0.008349,0.006022,0.000274,0.014372
"('Companion - Wynne', 'Lore-Friendly')",46,295,0.006296,0.040378,0.001642,0.046674
"('New models', 'Humor, Joke or Just for Fun')",123,16,0.016835,0.00219,0.000274,0.019025
"('Companion - Morrigan', 'User Interface')",102,38,0.013961,0.005201,0.000274,0.019162
"('Quests', 'Non-Playable Resource')",59,21,0.008076,0.002874,0.000137,0.01095
"('Companion - Loghain', 'Humor, Joke or Just for Fun')",21,16,0.002874,0.00219,0.000137,0.005064
"('Audio - Music', 'Magic - Potions')",11,9,0.001506,0.001232,0.000274,0.002737
"('For female characters', 'Tutorials for Modders')",271,12,0.037093,0.001642,0.000137,0.038735
"('Lighting', 'English')",4,509,0.000547,0.069669,0.000547,0.070216
"('For male characters', 'Audio - Sound FX')",234,23,0.032028,0.003148,0.000547,0.035177
"('Companion - Dog', 'Quests')",21,59,0.002874,0.008076,0.000411,0.01095
"('For male characters', 'Italian')",234,21,0.032028,0.002874,0.000684,0.034903
"('Environment - Other', 'Non-Playable Resource')",18,21,0.002464,0.002874,0.000137,0.005338
"('Companion - Sigrun', 'Video')",11,44,0.001506,0.006022,0.000137,0.007528
"('Russian', 'Armor - Shields')",32,79,0.00438,0.010813,0.000137,0.015193
"('Locations - Dungeons', 'NPCs')",13,150,0.001779,0.020531,0.000684,0.02231
"('Companion - Leliana', 'Locations - Dungeons')",117,13,0.016014,0.001779,0.000137,0.017794
"('Audio - Sound FX', 'Magic - Potions')",23,9,0.003148,0.001232,0.000274,0.00438
"('Hair', 'User Interface')",83,38,0.011361,0.005201,0.000274,0.016562
"('Hair', 'New models')",83,123,0.011361,0.016835,0.002601,0.028196
"('Skills', 'Magic - Enchantments')",54,19,0.007391,0.002601,0.000684,0.009992
"('For female characters', 'Skills')",271,54,0.037093,0.007391,0.000411,0.044484
"('Companion - Oghren', 'Body models')",32,30,0.00438,0.004106,0.000547,0.008486
"('For male characters', 'Armor - Shields')",234,79,0.032028,0.010813,0.007117,0.042842
"('Gameplay Effects/Changes', 'Companion - New - Female')",257,34,0.035177,0.004654,0.000547,0.03983
"('Quests', 'Utilities for Players')",59,77,0.008076,0.010539,0.000137,0.018615
"('For female characters', 'Scripted Events')",271,76,0.037093,0.010402,0.001232,0.047495
"('Body models', 'Classes component')",30,31,0.004106,0.004243,0.000137,0.008349
"('Fair and balanced', 'Audio - Voices')",44,19,0.006022,0.002601,0.000411,0.008623
"('Video', 'Locations - Caverns')",44,6,0.006022,0.000821,0.000274,0.006844
"('Companion - Morrigan', 'Magic - Potions')",102,9,0.013961,0.001232,0.000137,0.015193
"('Companion - New - Male', 'Clothing - Male')",35,25,0.004791,0.003422,0.000274,0.008212
"('Polish', 'Spanish')",26,26,0.003559,0.003559,0.002464,0.007117
"('Lore-Friendly', 'Plants / Foliage')",295,3,0.040378,0.000411,0.000411,0.040788
"('Companion - Morrigan', 'Czech')",102,5,0.013961,0.000684,0.000137,0.014645
"('For female characters', 'Weapons')",271,227,0.037093,0.03107,0.010402,0.068163
"('Not Lore-Friendly', 'English')",24,509,0.003285,0.069669,0.001232,0.072954
"('For female characters', 'French')",271,21,0.037093,0.002874,0.000684,0.039967
"('Lore-Friendly', 'Utilities for Modders')",295,36,0.040378,0.004927,0.000821,0.045305
"('Companion - Zevran', 'Video')",82,44,0.011224,0.006022,0.000821,0.017246
"('Companion - Wynne', 'Armor - Shields')",46,79,0.006296,0.010813,0.000411,0.017109
"('Companion - Justice', 'NPC Vendors')",12,43,0.001642,0.005886,0.000411,0.007528
"('Companions', 'Fair and balanced')",259,44,0.03545,0.006022,0.002327,0.041473
"('Companion - New - Female', 'Clothing - Male')",34,25,0.004654,0.003422,0.000137,0.008076
"('Companion - Loghain', 'Companion - New - Male')",21,35,0.002874,0.004791,0.000684,0.007665
"('Companion - Justice', 'Russian')",12,32,0.001642,0.00438,0.000137,0.006022
"('Quests', 'Locations - Caverns')",59,6,0.008076,0.000821,0.000684,0.008897
"('Singleplayer Campaign', 'Czech')",183,5,0.025048,0.000684,0.000274,0.025732
"('Audio - Music', 'Locations - Buildings')",11,27,0.001506,0.003696,0.000137,0.005201
"('Environment - Other', 'Weapons')",18,227,0.002464,0.03107,0.000547,0.033534
"('For DAO', 'Scripted Events')",213,76,0.029154,0.010402,0.001369,0.039557
"('For female characters', 'Sexy/Skimpy')",271,11,0.037093,0.001506,0.001232,0.038598
"('Companion - Zevran', 'Animation - New')",82,29,0.011224,0.003969,0.000137,0.015193
"('German', 'Spanish')",44,26,0.006022,0.003559,0.002737,0.009581
"('Audio - Voices', 'Quests')",19,59,0.002601,0.008076,0.000821,0.010676
"('New Lands', 'New textures')",22,290,0.003011,0.039693,0.001095,0.042705
"('French', 'Japanese')",21,15,0.002874,0.002053,0.002053,0.004927
"('Companion - New - Male', 'Spanish')",35,26,0.004791,0.003559,0.000137,0.008349
"('Fair and balanced', 'Utilities for Modders')",44,36,0.006022,0.004927,0.000411,0.01095
"('Companion Friendly', 'Companion - Loghain')",61,21,0.008349,0.002874,0.000274,0.011224
"('Polish', 'Non-Playable Resource')",26,21,0.003559,0.002874,0.000137,0.006433
"('Companion - Leliana', 'Scripted Events')",117,76,0.016014,0.010402,0.001095,0.026417
"('Clothing', 'Magic - Spells')",109,62,0.014919,0.008486,0.000547,0.023405
"('Companion Friendly', 'NPCs')",61,150,0.008349,0.020531,0.002053,0.02888
"('Companion - Sten', 'Video')",44,44,0.006022,0.006022,0.000411,0.012045
"('Classes component', 'Skills')",31,54,0.004243,0.007391,0.001642,0.011634
"('Companion - Sigrun', 'Companion - Morrigan')",11,102,0.001506,0.013961,0.000684,0.015467
"('Companion - Sten', 'Audio - Sound FX')",44,23,0.006022,0.003148,0.000137,0.009171
"('Companion - Sten', 'Hair')",44,83,0.006022,0.011361,0.000958,0.017383
"('Companion - Velanna', 'Companion - Oghren')",13,32,0.001779,0.00438,0.000411,0.006159
"(""Modder's Resource"", 'Tutorials for Players')",84,12,0.011497,0.001642,0.000411,0.01314
"('Locations - Caverns', ""Modder's Resource"")",6,84,0.000821,0.011497,0.000137,0.012319
"('For DAO', 'Singleplayer Campaign')",213,183,0.029154,0.025048,0.004243,0.054202
"('Environment - Other', 'New Lands')",18,22,0.002464,0.003011,0.000821,0.005475
"('Books', 'Items - Furniture')",16,14,0.00219,0.001916,0.000274,0.004106
"('Companions', 'Spanish')",259,26,0.03545,0.003559,0.000684,0.039009
"('Scripted Events', 'Armor - Shields')",76,79,0.010402,0.010813,0.000547,0.021215
"('For DAO', 'For male characters')",213,234,0.029154,0.032028,0.007117,0.061183
"('Companion - Oghren', 'Companion - Wynne')",32,46,0.00438,0.006296,0.002874,0.010676
"('For DAO', 'English')",213,509,0.029154,0.069669,0.012592,0.098823
"('For DAA', 'Magic - Spells')",49,62,0.006707,0.008486,0.000547,0.015193
"('For DAO', 'Italian')",213,21,0.029154,0.002874,0.000684,0.032028
"('Classes component', 'Clothing')",31,109,0.004243,0.014919,0.000274,0.019162
"('Companion - Leliana', 'Companion - Morrigan')",117,102,0.016014,0.013961,0.006981,0.029975
"('Companion - Zevran', 'Saved games')",82,85,0.011224,0.011634,0.000411,0.022858
"('Locations - Dungeons', 'Magic - Enchantments')",13,19,0.001779,0.002601,0.000137,0.00438
"('For DAO', 'New textures')",213,290,0.029154,0.039693,0.006433,0.068848
"('Cheating', 'Video')",106,44,0.014509,0.006022,0.000137,0.020531
"('For DAA', 'Sexy/Skimpy')",49,11,0.006707,0.001506,0.000137,0.008212
"('Companion - New - Female', 'Skills')",34,54,0.004654,0.007391,0.000137,0.012045
"('Companion Friendly', 'Gameplay Effects/Changes')",61,257,0.008349,0.035177,0.001095,0.043526
"('Not Lore-Friendly', 'NPCs')",24,150,0.003285,0.020531,0.000547,0.023816
"('Gameplay Effects/Changes', 'Body models')",257,30,0.035177,0.004106,0.000958,0.039283
"('Other languages', 'Books')",5,16,0.000684,0.00219,0.000137,0.002874
"('Compilation', 'Magic - Enchantments')",6,19,0.000821,0.002601,0.000137,0.003422
"('Compilation', 'Companion - Mhairi')",6,7,0.000821,0.000958,0.000137,0.001779
"('Fair and balanced', 'New models')",44,123,0.006022,0.016835,0.000821,0.022858
"('Companion - Mhairi', 'Companion - Wynne')",7,46,0.000958,0.006296,0.000411,0.007254
"('For DAO', 'Clothing')",213,109,0.029154,0.014919,0.003559,0.044073
"('Lore-Friendly', 'Czech')",295,5,0.040378,0.000684,0.000547,0.041062
"('Clothing - Female', 'Items - Ingredients')",31,7,0.004243,0.000958,0.000274,0.005201
"('Unbalanced', 'Audio - Sound FX')",6,23,0.000821,0.003148,0.000137,0.003969
"('Companion - Mhairi', 'Weapons')",7,227,0.000958,0.03107,0.000274,0.032028
"('New textures', 'Items - Clutter')",290,20,0.039693,0.002737,0.000547,0.042431
"('Compilation', 'Lore-Friendly')",6,295,0.000821,0.040378,0.000684,0.041199
"('New textures', 'Nudity')",290,9,0.039693,0.001232,0.000411,0.040925
"('Not Lore-Friendly', 'Clothing')",24,109,0.003285,0.014919,0.000274,0.018204
"('Polish', ""Modder's Resource"")",26,84,0.003559,0.011497,0.000411,0.015056
"('Armor - Shields', 'Utilities for Players')",79,77,0.010813,0.010539,0.000411,0.021352
"('Companion - Shale', 'Magic - Enchantments')",10,19,0.001369,0.002601,0.000137,0.003969
"('Companion - Shale', 'Companion - Zevran')",10,82,0.001369,0.011224,0.000547,0.012592
"('Fair and balanced', 'Clothing')",44,109,0.006022,0.014919,0.001232,0.020942
"('Companion - Sigrun', 'NPCs')",11,150,0.001506,0.020531,0.000411,0.022037
"('Companions', 'Utilities for Players')",259,77,0.03545,0.010539,0.000958,0.04599
"('Chargen', 'German')",136,44,0.018615,0.006022,0.000137,0.024637
"('New textures', ""Modder's Resource"")",290,84,0.039693,0.011497,0.002053,0.051191
"('Companion - Velanna', 'Face models')",13,417,0.001779,0.057076,0.000821,0.058856
"('Scripted Events', 'Clothing')",76,109,0.010402,0.014919,0.000684,0.025322
"('Companion Friendly', 'Companion - Justice')",61,12,0.008349,0.001642,0.000411,0.009992
"('Singleplayer Campaign', 'NPCs')",183,150,0.025048,0.020531,0.006022,0.045579
"('Companion - Velanna', 'Singleplayer Campaign')",13,183,0.001779,0.025048,0.000411,0.026827
"('Companions', 'Companion - Sigrun')",259,11,0.03545,0.001506,0.000821,0.036956
"('Companion - Zevran', 'Audio - Music')",82,11,0.011224,0.001506,0.000137,0.012729
"('Lighting', 'Armor - Shields')",4,79,0.000547,0.010813,0.000137,0.011361
"('Audio - Voices', 'NPC Vendors')",19,43,0.002601,0.005886,0.000411,0.008486
"('Races - New', 'Scripted Events')",6,76,0.000821,0.010402,0.000274,0.011224
"('Companion - Velanna', 'English')",13,509,0.001779,0.069669,0.000684,0.071448
"('Audio - Sound FX', 'Items - Apparatus')",23,15,0.003148,0.002053,0.000274,0.005201
"('Companion - New - Female', 'Books')",34,16,0.004654,0.00219,0.000137,0.006844
"('Body models', 'Items - Apparatus')",30,15,0.004106,0.002053,0.000137,0.006159
"('German', 'NPCs')",44,150,0.006022,0.020531,0.000547,0.026554
"('Skills', 'Polish')",54,26,0.007391,0.003559,0.000547,0.01095
"('Skills', 'NPCs')",54,150,0.007391,0.020531,0.000547,0.027922
"('Companion - Loghain', 'Armor - Shields')",21,79,0.002874,0.010813,0.000274,0.013687
"('German', 'Utilities for Players')",44,77,0.006022,0.010539,0.000684,0.016562
"('Environment - Other', 'New models')",18,123,0.002464,0.016835,0.000547,0.019299
"('Animation - New', 'Utilities for Modders')",29,36,0.003969,0.004927,0.000274,0.008897
"('Audio - Music', 'NPC Vendors')",11,43,0.001506,0.005886,0.000137,0.007391
"('For male characters', 'Companion - Velanna')",234,13,0.032028,0.001779,0.000274,0.033808
"('Companion - Oghren', 'Environment - Other')",32,18,0.00438,0.002464,0.000137,0.006844
"('New textures', 'Items - Apparatus')",290,15,0.039693,0.002053,0.000411,0.041747
"('English', 'Magic - Potions')",509,9,0.069669,0.001232,0.000958,0.070901
"('Companion - Justice', 'Lore-Friendly')",12,295,0.001642,0.040378,0.000547,0.04202
"('Locations - Dungeons', 'Plants / Foliage')",13,3,0.001779,0.000411,0.000274,0.00219
"('Companion - Anders', 'Companion - Nathaniel')",14,11,0.001916,0.001506,0.000958,0.003422
"('Companion - Anders', 'NPCs')",14,150,0.001916,0.020531,0.000684,0.022447
"('Clothing - Male', 'Locations - Caverns')",25,6,0.003422,0.000821,0.000137,0.004243
"('Locations - Dungeons', 'Magic - Spells')",13,62,0.001779,0.008486,0.000274,0.010266
"('Companion - Leliana', 'NPCs')",117,150,0.016014,0.020531,0.002737,0.036545
"('Companion - Justice', 'Companion - Velanna')",12,13,0.001642,0.001779,0.000684,0.003422
"('Gameplay Effects/Changes', 'Fair and balanced')",257,44,0.035177,0.006022,0.001369,0.041199
"('Companion - Nathaniel', 'Companion - Morrigan')",11,102,0.001506,0.013961,0.000684,0.015467
"('Gameplay Effects/Changes', 'Companion - Shale')",257,10,0.035177,0.001369,0.000137,0.036545
"('Animation - Modified', 'New models')",37,123,0.005064,0.016835,0.000411,0.0219
"('Companion - Velanna', 'Companion - Sten')",13,44,0.001779,0.006022,0.000411,0.007802
"('Companion - Velanna', 'Hair')",13,83,0.001779,0.011361,0.000137,0.01314
"('Companion - Shale', 'Plants / Foliage')",10,3,0.001369,0.000411,0.000137,0.001779
"('Chargen', 'Japanese')",136,15,0.018615,0.002053,0.000137,0.020668
"('Environment - Sky', 'Video')",3,44,0.000411,0.006022,0.000137,0.006433
"('Classes component', 'NPCs')",31,150,0.004243,0.020531,0.000547,0.024774
"('Companion - Leliana', 'Magic - Potions')",117,9,0.016014,0.001232,0.000137,0.017246
"('New models', 'Clothing - Female')",123,31,0.016835,0.004243,0.000411,0.021079
"('Companions', 'Czech')",259,5,0.03545,0.000684,0.000274,0.036135
"('Companion - Oghren', 'Not Lore-Friendly')",32,24,0.00438,0.003285,0.000274,0.007665
"('Audio - Music', 'Lighting')",11,4,0.001506,0.000547,0.000137,0.002053
"('Companion - Oghren', 'Clothing - Female')",32,31,0.00438,0.004243,0.000274,0.008623
"('Cheating', 'Locations - Buildings')",106,27,0.014509,0.003696,0.000137,0.018204
"('For DAA', 'For male characters')",49,234,0.006707,0.032028,0.00219,0.038735
"('Companion - Leliana', 'Spanish')",117,26,0.016014,0.003559,0.000411,0.019573
"('For DAA', 'Utilities for Players')",49,77,0.006707,0.010539,0.000684,0.017246
"('Companion - New - Female', 'Polish')",34,26,0.004654,0.003559,0.000274,0.008212
"('Companion - Justice', 'Not Lore-Friendly')",12,24,0.001642,0.003285,0.000137,0.004927
"('Companion - Alistair', 'Items - Clutter')",102,20,0.013961,0.002737,0.000137,0.016699
"('Video', 'Humor, Joke or Just for Fun')",44,16,0.006022,0.00219,0.000274,0.008212
"('Companion - New - Male', 'Races - Modified')",35,17,0.004791,0.002327,0.000547,0.007117
"('Environment - Other', 'Lore-Friendly')",18,295,0.002464,0.040378,0.000958,0.042842
"('For DAA', 'Lighting')",49,4,0.006707,0.000547,0.000137,0.007254
"('NPC Vendors', 'Utilities for Players')",43,77,0.005886,0.010539,0.000274,0.016425
"('Companions', 'Humor, Joke or Just for Fun')",259,16,0.03545,0.00219,0.000684,0.03764
"('Video', 'Russian')",44,32,0.006022,0.00438,0.000411,0.010402
"('For DAA', 'Companion - Justice')",49,12,0.006707,0.001642,0.000274,0.008349
"('New models', 'English')",123,509,0.016835,0.069669,0.00657,0.086504
"('Companion - Leliana', 'Items - Furniture')",117,14,0.016014,0.001916,0.000137,0.01793
"('Gameplay Effects/Changes', 'Clothing')",257,109,0.035177,0.014919,0.000821,0.050096
"('New textures', 'Tutorials for Modders')",290,12,0.039693,0.001642,0.000137,0.041336
"('Lore-Friendly', 'Spanish')",295,26,0.040378,0.003559,0.001232,0.043936
"('Audio - Sound FX', 'Video')",23,44,0.003148,0.006022,0.000821,0.009171
"('Replacer', 'Companion - New - Female')",401,34,0.054886,0.004654,0.001232,0.05954
"('For male characters', 'Items - Furniture')",234,14,0.032028,0.001916,0.000274,0.033945
"('Companion - Leliana', 'Nudity')",117,9,0.016014,0.001232,0.000137,0.017246
"('Armor - Shields', 'Items - Clutter')",79,20,0.010813,0.002737,0.000547,0.013551
"('Compilation', 'Cheating')",6,106,0.000821,0.014509,0.000137,0.01533
"('Locations - Caverns', 'Magic - Spells')",6,62,0.000821,0.008486,0.000274,0.009307
"('Polish', 'Locations - Buildings')",26,27,0.003559,0.003696,0.000137,0.007254
"('Companion - Anders', 'Companion - New - Female')",14,34,0.001916,0.004654,0.000137,0.00657
"('Audio - Sound FX', 'Spanish')",23,26,0.003148,0.003559,0.000137,0.006707
"('Companion - Sigrun', 'Companion - Sten')",11,44,0.001506,0.006022,0.000411,0.007528
"('Related to Movies/TV/Other Games', 'Russian')",59,32,0.008076,0.00438,0.000274,0.012456
"('Fair and balanced', 'Body models')",44,30,0.006022,0.004106,0.000274,0.010129
"('Quests', 'Humor, Joke or Just for Fun')",59,16,0.008076,0.00219,0.000137,0.010266
"('Classes component', 'New models')",31,123,0.004243,0.016835,0.000274,0.021079
"('Face models', ""Modder's Resource"")",417,84,0.057076,0.011497,0.002327,0.068574
"('Locations - Caverns', 'Magic - Potions')",6,9,0.000821,0.001232,0.000274,0.002053
